Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_kr_GUI_arAny,AR-like systems and others,AR-like systems and others,systémy podobné AR a další,AR-ähnliche Systeme und andere,AR-системы и прочие,Systemy typu AR i inne,AR-szerű rendszerek és mások,Sistemi simili alla realtà aumentata e altri,Sistemas tipo AR y otros,Systèmes de type RA et autres,类似 AR 的系统及其他,ARのようなシステムなど,Sistemas semelhantes a RA e outros,类似 AR 的系统及其他,
STR_kr_GUI_bullet_Common,Common,Common,Společný,Gemeinsam,Обычные,Wspólny,Közös,Comune,Común,Commun,常见的,一般,Comum,常见的,
STR_kr_GUI_bullet_AP,Armor Piercing,Armor Piercing,Brnění piercing,Panzerbrechende,Бронебойные,Przebicie pancerza,Páncél Piercing,Perforazione dell'armatura,Perforación de armadura,Perforant,穿甲弹,徹甲弾,Perfuração de armadura,穿甲弹,
STR_kr_GUI_bullet_Fire,Fire,Fire,Oheň,Feuer,Зажигательные,Ogień,Tűz,Fuoco,Fuego,Feu,火,火,Fogo,火,
STR_kr_GUI_bullet_Tracer,Tracer,Tracer,Tracer,Tracer,Трасер,Kreślarka,Nyomkövető,Tracciante,Trazador,Traceur,追踪者,トレーサー,Rastreador,追踪者,
STR_kr_GUI_bullet_HallowPoint,Expansion,Expansion,Rozšíření,Erweiterung,Экспансивные,Ekspansja,Terjeszkedés,Espansione,Expansión,Expansion,扩张,拡大,Expansão,扩张,
STR_kr_GUI_bullet_nonLethal,Non-Lethal,Non-Lethal,Nesmrtící,Nicht tödlich,Нелетальные,Nieśmiercionośny,Nem halálos,Non letale,No letal,Non létal,非致命,非致死性,Não letal,非致命,
STR_kr_GUI_bullet_Explosive,Explosive,Explosive,Explozivní,Explosiv,Разрывные,Materiał wybuchowy,Robbanó,Esplosivo,Explosivo,Explosif,爆炸物,爆発物,Explosivo,爆炸物,
STR_kr_GUI_bullet_Subsonic,Subsonic,Subsonic,Podzvukový,Unterschall,Дозвуковые,Poddźwiękowy,Szubszonikus,Subsonico,Subsónico,Subsonique,亚音速,亜音速,Subsônico,亚音速,
STR_kr_GUI_bullet_Lighting,Lighting,Lighting,Osvětlení,Beleuchtung,Осветительные,Oświetlenie,Világítás,Illuminazione,Iluminación,Éclairage,灯光,点灯,Iluminação,灯光,
STR_kr_GUI_bullet_Gas,Gas,Gas,Plyn,Gas,Газовые,Gaz,Gáz,Gas,Gas,Gaz,气体,ガス,Gás,气体,
STR_kr_GUI_bullet_Smoke,Smoke,Smoke,Kouř,Rauch,Дымовые,Dym,Füst,Fumo,Fumar,Fumée,抽烟,煙,Fumaça,抽烟,
STR_kr_GUI_bullet_Bolt,Bolt,Bolt,Šroub,Bolzen,Болт,Śruba,Csavar,Bullone,Tornillo,Boulon,螺栓,ボルト,Parafuso,螺栓,
STR_kr_GUI_bullet_Arrow,Arrow,Arrow,Šipka,Pfeil,Стрела,Strzałka,Nyíl,Freccia,Flecha,Flèche,箭,矢印,Seta,箭,
STR_kr_GUI_type,Type,Type,Typ,Typ,Тип,Typ,Írja be,Tipo,Tipo,Taper,类型,タイプ,Tipo,类型,
STR_kr_GUI_speed,Speed,Speed,Rychlost,Geschwindigkeit,Скорость,Prędkość,Sebesség,Velocità,Velocidad,Vitesse,速度,スピード,Velocidade,速度,
STR_kr_GUI_damagebarrel,Damage to weapon,Damage to weapon,Poškození zbraně,Schaden an der Waffe,Влияние на износ,Uszkodzenie broni,A fegyver sérülése,Danni all'arma,Daños al arma,Dommages à l'arme,武器损坏,武器へのダメージ,Danos à arma,武器损坏,
STR_kr_GUI_resource,Resource,Resource,Zdroj,Ressource,Ресурс,Ratunek,Forrás,Risorsa,Recurso,Ressource,资源,リソース,Recurso,资源,
STR_kr_GUI_capacity,Capacity,Capacity,Kapacita,Kapazität,Вместимость,Pojemność,Kapacitás,Capacità,Capacidad,Capacité,容量,容量,Capacidade,容量,
STR_kr_GUI_chancetojam,Chance to jam,Chance to jam,Šance na jam,Möglichkeit zum Jammen,Подача патрона,Szansa na zacięcie,Lekvár,Possibilità di fare jam,Oportunidad de improvisar,Possibilité de jouer,堵塞的机会,ジャムのチャンス,Chance de tocar,堵塞的机会,
STR_kr_GUI_ctj_bad,High,High,Vysoký,Hoch,Плохая,Wysoki,Magas,Alto,Alto,Haut,高的,高い,Alto,高的,
STR_kr_GUI_ctj_normal,Normal,Normal,Normální,Normal,Нормальная,Normalna,Normál,Normale,Normal,Normale,普通的,普通,Normal,普通的,
STR_kr_GUI_ctj_good,Small,Small,Malý,Klein,Хорошая,Mały,Kicsi,Piccolo,Pequeño,Petit,小的,小さい,Pequeno,小的,
STR_kr_GUI_protection,PROTECTION,PROTECTION,OCHRANA,SCHUTZ,ЗАЩИТА,OCHRONA,VÉDELEM,PROTEZIONE,PROTECCIÓN,PROTECTION,保护,保護,PROTEÇÃO,保护,
STR_kr_GUI_projectile,Projectile,Projectile,Projektil,Projektil,От пуль,Pocisk,Lövedék,Proiettile,Proyectil,Projectile,射弹,発射物,Projétil,射弹,
STR_kr_GUI_melee,Melee,Melee,Melee,Nahkampf,От ударов,Bijatyka,Közelharc,Mischia,Pelea confusa,Mêlée,近战,近接戦闘,Corpo a corpo,近战,
STR_kr_GUI_infected,Infected,Infected,Infikovaný,Infiziert,От зараженных,Zainfekowany,Fertőzött,Infetto,Infectado,Infecté,已感染,感染した,Infetado,已感染,
STR_kr_GUI_frag,Frag Grenade,Frag Grenade,Frag Grenade,Splittergranate,От осколков,Granat odłamkowy,Frag Grenade,Granata a frammentazione,Granada de fragmentación,Grenade à fragmentation,破片手榴弹,フラググレネード,Granada de fragmentação,破片手榴弹,
STR_kr_GUI_chem,Chemical,Chemical,Chemikálie,Chemisch,Химическая,Chemiczny,Kémiai,Chimico,Químico,Chimique,化学,化学薬品,Químico,化学,
STR_kr_GUI_bio,Biological,Biological,Biologický,Biologisch,Биологическая,Biologiczny,Biológiai,Biologico,Biológico,Biologique,生物,生物学的,Biológico,生物,
STR_kr_GUI_itemDurability,Durability,Durability,Trvanlivost,Haltbarkeit,Прочность,Trwałość,Tartósság,Durata,Durabilidad,Durabilité,耐用性,耐久性,Durabilidade,耐用性,
STR_kr_GUI_protectionType,Health/Blood/Shock,Health/Blood/Shock,Zdraví/Krev/Šok,Gesundheit/Blut/Schock,Здоровье/Кровь/Шок,Zdrowie/Krew/Szok,Egészség/Vér/Sokk,Salute/Sangue/Shock,Salud/Sangre/Shock,Santé/Sang/Choc,健康/血液/休克,体力/血液/ショック,Saúde/Sangue/Choque,健康/血液/休克,
STR_kr_slot_kr_light,Rail interface,Rail interface,Železniční rozhraní,Schienenschnittstelle,Рельса,Interfejs kolejowy,Rail interfész,Interfaccia ferroviaria,Interfaz ferroviaria,Interface ferroviaire,轨道接口,レールインターフェース,Interface ferroviária,轨道接口,
STR_kr_slot_kr_pointer_1,Upper rail,Upper rail,Horní kolejnice,Obere Schiene,Верхняя рельса,Szyna górna,Felső sín,Binario superiore,Riel superior,Rail supérieur,上轨,上部レール,Trilho superior,上轨,
STR_kr_slot_muzzle_9_39_9a91,9a-91 suppressor,9a-91 suppressor,9a-91 supresor,9a-91 Schalldämpfer,Глушитель 9a-91,Tłumik 9a-91,9a-91 szupresszor,Soppressore 9a-91,Supresor 9a-91,Suppresseur 9a-91,9a-91抑制器,9a-91サプレッサー,supressor 9a-91,9a-91抑制器,
STR_kr_slot_kr_val_mount,Mount on suppressor,Mount on suppressor,Namontujte na tlumič,Montage auf Schalldämpfer,Крепление на глушитель,Montaż na tłumiku,Szerelje fel a szupresszorra,Montare sul soppressore,Montaje en supresor,Montage sur silencieux,安装在抑制器上,サプレッサーに取り付ける,Montagem no supressor,安装在抑制器上,
STR_kr_slot_kr_val_pistolgrip,«VAL» pistol grip,«VAL» pistol grip,"Pistolová rukojeť ""VAL"".",Pistolengriff «VAL»,Пистолетная рукоять АС Вал,Chwyt pistoletowy «VAL»,«VAL» pisztolymarkolat,impugnatura a pistola «VAL»,Empuñadura de pistola «VAL»,Poignée pistolet « VAL »,«VAL»手枪式握把,「VAL」ピストルグリップ,Punho de pistola «VAL»,«VAL»手枪式握把,
STR_kr_slot_kr_val_stock,«VAL» stock,«VAL» stock,skladem „VAL“.,«VAL»-Aktie,Приклад АС Вал,Akcje «VAL»,«VAL» készlet,Azione «VAL»,Acciones «VAL»,Actions «VAL»,«VAL» 股票,「VAL」株,Ações «VAL»,«VAL» 股票,
STR_kr_slot_pp19_receiver,PP19 receiver,PP19 receiver,Přijímač PP19,PP19-Empfänger,Крышка Ств. Коробки ПП-19,Odbiornik PP19,PP19 vevő,Ricevitore PP19,Receptor PP19,Récepteur PP19,PP19接收器,PP19受信機,Receptor PP19,PP19接收器,
STR_kr_slot_muzzle9_19,9x19 muzzle,9x19 muzzle,9x19 náhubek,9x19 Mündung,ДТК 9x19,Wylot lufy 9x19,9x19-es szájkosár,volata 9x19,cañón 9x19,Canon 9x19,9x19枪口,9x19の銃口,focinho 9x19,9x19枪口,
STR_kr_slot_muzzle366,.366TKM muzzle,.366TKM muzzle,Náhubek .366TKM,.366TKM-Mündung,ДТК .366TKM,Wylot lufy .366TKM,.366TKM szájkosár,volata .366TKM,boca del cañón .366TKM,bouche du canon .366TKM,.366TKM枪口,.366TKMマズル,cano do .366TKM,.366TKM枪口,
STR_kr_slot_bipod,Bipod,Bipod,Dvojnožka,Zweibein,Сошки,Dwójnóg,Kétlábú állvány,Bipiede,Bípode,Bipied,两脚架,バイポッド,Bipé,两脚架,
STR_kr_slot_light_pistol,Light,Light,Světlo,Licht,Фонарь,Światło,Fény,Leggero,Luz,Lumière,光,ライト,Luz,光,
STR_kr_slot_shotgun_mp_mag,Shotgun mag,Shotgun mag,Brokovnice mag,Schrotflintenmagazin,Трубчатый магазин,Magazynek do strzelby,Shotgun mag,Caricatore per fucile,Cargador de escopeta,Chargeur de fusil de chasse,霰弹枪弹匣,ショットガンマガジン,Carregador de espingarda,霰弹枪弹匣,
STR_kr_slot_sg550_pistolgrip,SG 550 Pistol grip,SG 550 Pistol grip,Pistolová rukojeť SG 550,SG 550 Pistolengriff,Пистолетная рукоять SG550,Uchwyt pistoletowy SG 550,SG 550 pisztoly markolat,Impugnatura a pistola SG 550,Empuñadura de pistola SG 550,Poignée pistolet SG 550,SG 550 手枪式握把,SG 550 ピストルグリップ,Empunhadura de pistola SG 550,SG 550 手枪式握把,
STR_kr_slot_sg550_hndgrd,SG 550 Handguard,SG 550 Handguard,Předpažbí SG 550,SG 550 Handschutz,Цевье SG 550,Osłona dłoni SG 550,SG 550 kézvédő,Paramano SG 550,Guardamanos SG 550,Garde-main SG 550,SG 550护手,SG 550 ハンドガード,Protetor de mão SG 550,SG 550护手,
STR_kr_slot_sg552_hndgrd,SG 552 Handguard,SG 552 Handguard,Předpažbí SG 552,SG 552 Handschutz,Цевье SG 552,Osłona dłoni SG 552,SG 552 kézvédő,Paramano SG 552,Guardamanos SG 552,Garde-main SG 552,SG 552护木,SG 552 ハンドガード,Protetor de mão SG 552,SG 552护木,
STR_kr_slot_sg550_stock,SG 550 Stock,SG 550 Stock,Sklad SG 550,SG 550 Schaft,Приклад SG 550,SG 550 Kolba,SG 550 készlet,Stock SG 550,Culata SG 550,SG 550 Stock,SG 550 库存,SG 550株,Estoque SG 550,SG 550 库存,
STR_kr_slot_g36_stock,G36 Stock,G36 Stock,Sklad G36,G36 Schaft,Приклад G36,Kolba G36,G36 készlet,G36 Stock,Culata G36,Crosse G36,G36 库存,G36ストック,Estoque G36,G36 库存,
STR_kr_slot_g36c_handguard,G36C Handguard,G36C Handguard,Předpažbí G36C,G36C Handschutz,Цевье G36c,Osłona dłoni G36C,G36C kézvédő,Paramano G36C,Guardamanos G36C,Garde-main G36C,G36C护手,G36Cハンドガード,Protetor de mão G36C,G36C护手,
STR_kr_slot_g36k_handguard,G36K Handguard,G36K Handguard,Předpažbí G36K,G36K Handschutz,Цевье G36k,Osłona dłoni G36K,G36K kézvédő,Paramano G36K,Guardamanos G36K,Garde-main G36K,G36K护手,G36Kハンドガード,Protetor de mão G36K,G36K护手,
STR_kr_slot_g36_handguard,G36 Handguard,G36 Handguard,Předpažbí G36,G36 Handschutz,Цевье G36,Osłona dłoni G36,G36 kézvédő,Paramano G36,Guardamanos G36,Garde-main G36,G36护手,G36ハンドガード,Protetor de mão G36,G36护手,
STR_kr_slot_g36_optic,G36 Optics,G36 Optics,Optika G36,G36 Optik,Оптика G36,Optyka G36,G36 optika,Ottica G36,Óptica G36,Optique G36,G36 光学器件,G36オプティクス,Óptica G36,G36 光学器件,
STR_kr_slot_g36_ckit,G36 Magwell,G36 Magwell,G36 Magwell,G36 Magazinschacht,Шахта магазина,Gniazdo magazynka G36,G36 Magwell,G36 Magwell,Pozo del cargador G36,Puits de chargeur G36,G36 弹匣井,G36マグウェル,G36 Magwell,G36 弹匣井,
STR_kr_slot_g36_bipods,G36 Bipods,G36 Bipods,Dvojnožky G36,G36 Zweibeine,Сошки G36,Dwójnogi G36,G36 kétlábúak,Bipiedi G36,Bípodes G36,Bipieds G36,G36 两脚架,G36バイポッド,Bipés G36,G36 两脚架,
STR_kr_slot_tt_laser,Laser pointer TT,Laser pointer TT,Laserové ukazovátko TT,Laserpointer TT,ЛЦУ ТТ,Wskaźnik laserowy TT,TT lézermutató,Puntatore laser TT,Puntero láser TT,Pointeur laser TT,激光笔TT,レーザーポインターTT,Ponteiro laser TT,激光笔TT,
STR_kr_slot_tt_grip,TT Grip,TT Grip,TT Grip,TT-Griff,Рукоять ТТ,Uchwyt TT,TT markolat,Impugnatura TT,Agarre TT,Poignée TT,TT 握把,TTグリップ,TT Grip,TT 握把,
STR_kr_slot_muzzle762_25,Muzzle 7.62x25,Muzzle 7.62x25,"Náhubek 7,62x25","Mündung 7,62 x 25",Дульное устройство 7.62x25,"Wylot 7,62x25","Pofa 7,62x25","Bocca 7,62x25","Boca 7,62x25","Canon 7,62x25",枪口 7.62x25,銃口 7.62x25,"Focinho 7,62x25",枪口 7.62x25,
STR_kr_slot_ironsights,Ironsigts,Ironsigts,Ironsigts,Ironsigts,Механический прицел,Żelazne znaki,Ironsigts,Ironsigns,Ironsigts,Signes de fer,铁信号,アイアンシグツ,Ironsigts,铁信号,
STR_kr_slot_kr_receiver_g17,Glock17 Receiver,Glock17 Receiver,Přijímač Glock17,Glock17-Empfänger,Затвор Glock17,Odbiornik Glock17,Glock17 vevő,Ricevitore Glock17,Receptor Glock17,Récepteur Glock17,Glock17接收器,Glock17 レシーバー,Receptor Glock17,Glock17接收器,
STR_kr_slot_kr_pistolgrip,Pistol grip,Pistol grip,Pistolová rukojeť,Pistolengriff,Рукоять,Chwyt pistoletowy,Pisztoly markolat,impugnatura a pistola,Empuñadura de pistola,Poignée pistolet,手枪式握把,ピストルグリップ,Empunhadura de pistola,手枪式握把,
STR_kr_slot_kr_mount,Mount,Mount,Mount,Montieren,Крепление,Uchwyt,Hegy,Montare,Montar,Monter,山,マウント,Monte,山,
STR_kr_slot_muzzle9_18,9x18 muzzle,9x18 muzzle,9x18 náhubek,9x18 Mündung,ДТК 9x18,Wylot 9x18,9x18-as szájkosár,volata 9x18,cañón 9x18,Canon 9x18,9x18枪口,9x18の銃口,focinho 9x18,9x18枪口,
STR_kr_slot_kr_receiver_p226r,P226r Receiver,P226r Receiver,Přijímač P226r,P226r-Empfänger,Затвор P226r,Odbiornik P226r,P226r vevő,Ricevitore P226r,Receptor P226r,Récepteur P226r,P226r接收器,P226rレシーバー,Receptor P226r,P226r接收器,
STR_kr_slot_m870_pump,M870 pump,M870 pump,čerpadlo M870,M870 Pumpe,Затвор M870,Pompa M870,M870 szivattyú,Pompa M870,Bomba M870,Pompe M870,M870泵,M870ポンプ,Bomba M870,M870泵,
STR_kr_slot_shotgun_mag,Tube magazine,Tube magazine,Trubkový časopis,Tubenmagazin,Трубчатый магазин,Magazyn rurowy,Cső magazin,Rivista Tube,Revista Tube,Magasin tubulaire,管状弹匣,チューブマガジン,Revista Tube,管状弹匣,
STR_kr_slot_sg550_bipods,SG550 Bipods,SG550 Bipods,Dvojnožky SG550,SG550 Zweibeine,Сошки SG550,Dwójnogi SG550,SG550 kétlábúak,Bipiedi SG550,Bípodes SG550,Bipieds SG550,SG550 两脚架,SG550 バイポッド,Bipés SG550,SG550 两脚架,
STR_kr_GUI_RPM_add,rounds per minute,rounds per minute,kol za minutu,Runden pro Minute,выстрелов в минуту,liczba rund na minutę,kör percenként,giri al minuto,disparos por minuto,tours par minute,每分钟发数,1分あたりのラウンド数,rodadas por minuto,每分钟发数,
STR_kr_GUI_Recoil,Recoil,Recoil,Zpětný ráz,Rückstoß,Отдача,Odrzut,Visszarúg,Rinculo,Retroceso,Recul,畏缩,反動,Recuo,畏缩,
STR_kr_GUI_Sway,Sway,Sway,Houpat,Schwanken,Стабильность,Kołysać,Inog,ondeggiare,Influencia,Se balancer,摇摆,揺れ,Balançar,摇摆,
STR_kr_GUI_dispersion_add,cm/100 meters,cm/100 meters,cm/100 metrů,cm/100 Meter,см/100 метров,cm/100 metrów,cm/100 méter,cm/100 metri,cm/100 metros,cm/100 mètres,厘米/100米,cm/100メートル,cm/100 metros,厘米/100米,
STR_kr_GUI_Durability_add,shots,shots,výstřely,Schüsse,выстрелов,strzały,lövések,scatti,disparos,coups de feu,镜头,ショット,tiros,镜头,
STR_kr_GUI_stack,stack:,stack:,stoh:,Stapel:,стак:,stos:,verem:,pila:,pila:,empiler:,堆：,スタック：,pilha:,堆：,
STR_kr_GUI_pts,pts.,pts.,bodů,Punkte.,шт.,pkt.,pontok,punti,pts.,points,點,ポイント,pontos.,點,
STR_kr_GUI_NoiseShoot,Noise Shoot,Noise Shoot,Noise Shoot,Lärmschießen,Громкость выстрела,Strzelanie hałasem,Noise Shoot,Spara rumore,Disparo de ruido,Prise de vue sonore,噪音拍摄,ノイズシュート,Tiro de ruído,噪音拍摄,
STR_kr_GUI_mps,m/s,m/s,paní,MS,м/с,SM,m/s,SM,EM,MS,多发性硬化症,MS,EM,多发性硬化症,
STR_Picattinny,Picatinny rail,Picatinny rail,Picatinny kolejnice,Picatinny-Schiene,Планка Пикаттини,Szyna Picatinny,Picatinny sín,Guida Picatinny,Riel Picatinny,Rail Picatinny,皮卡汀尼导轨,ピカティニーレール,Trilho Picatinny,皮卡汀尼导轨,
STR_Dovetail,Dovetail,Dovetail,Rybina,Schwalbenschwanz,Ласточкин хвост,Zazębiać,Fecskefark,Coda di rondine,Encajar,Queue d'aronde,燕尾榫,ダブテール,Cauda de andorinha,燕尾榫,
STR_Mosin,Kochetov's mount,Kochetov's mount,Kočetovova hora,Kochetovs Reittier,Крепление Кочетова,Góra Kochetova,Kocsetov hegye,La cavalcatura di Kochetov,La montura de Kochetov,La monture de Kochetov,科切托夫的坐骑,コチェトフの馬,A montaria de Kochetov,科切托夫的坐骑,
STR_kr_GUI_typicalspeed,Typical Speed,Typical Speed,Typická rychlost,Typische Geschwindigkeit,Базовая скорость,Typowa prędkość,Tipikus sebesség,Velocità tipica,Velocidad típica,Vitesse typique,典型速度,標準速度,Velocidade típica,典型速度,
STR_kr_GUI_initspeed,Init Speed,Init Speed,Rychlost zahájení,Initialisierungsgeschwindigkeit,Фактическая скорость,Prędkość inicjalizacji,Kezdeti sebesség,Velocità di inizializzazione,Velocidad de inicialización,Vitesse d'initialisation,初始速度,初期速度,Velocidade de inicialização,初始速度,
STR_kr_slot_muzzle762_39_sks,muzzle 7.62x39 SKS,muzzle 7.62x39 SKS,"čenich 7,62x39 SKS","Mündung 7,62x39 SKS",ДТК 7.62x39 СКС,"lufa 7,62x39 SKS","szájkosár 7,62x39 SKS",volata 7.62x39 SKS,"boca 7,62x39 SKS","museau 7,62x39 SKS",枪口 7.62x39 SKS,銃口 7.62x39 SKS,"focinho 7,62x39 SKS",枪口 7.62x39 SKS,
STR_kr_slot_receiver,Receiver,Receiver,Přijímač,Empfänger,Крышка ствольной коробки,Odbiornik,Vevő,Ricevitore,Receptor,Récepteur,接收者,受信機,Receptor,接收者,
