Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_kr_magazines_762x39_molot_rpk_drum_75Rnd,AK 7.62x39 Molot 75 Rnd,AK 7.62x39 Molot 75 Rnd,"AK 7,62x39 Molot 75 Rnd","AK 7,62x39 Molot 75 Rnd",Молот 7.62x39 75 Rnd,"AK 7,62x39 Molot 75 Rnd","AK 7,62x39 Molot 75 Rnd","AK 7,62x39 Molot 75 Rnd",AK 7.62x39 Molot 75 Rnd,AK 7.62x39 Molot 75 tours,AK 7.62x39 莫洛特 75 Rnd,AK 7.62x39 モロット 75 ラウンド,AK 7.62x39 Molot 75 Rnd,AK 7.62x39 莫洛特 75 Rnd,
STR_kr_magazines_762x39_molot_rpk_drum_75Rnd_dsc,75-round metal magazine for RPK fits 7.62x39 AK and compatible weapons.,75-round metal magazine for RPK fits 7.62x39 AK and compatible weapons.,"75ranný kovový zásobník pro RPK se hodí pro 7,62x39 AK a kompatibilní zbraně.","Das 75-Schuss-Metallmagazin für RPK passt für 7,62 x 39 AK und kompatible Waffen.",75 зарядный металлический магазин РПК под патрон 7.62x39 для АК/РПК и совместимых. ,"Metalowy magazynek na 75 nabojów do RPK pasuje do AK 7,62x39 i kompatybilnej broni.","75 golyós fém tár RPK-hoz 7,62x39 AK és kompatibilis fegyverekhez illeszkedik.","Il caricatore in metallo da 75 colpi per RPK è adatto per AK 7,62x39 e armi compatibili.","El cargador metálico de 75 balas para RPK se adapta a AK 7,62x39 y armas compatibles.","Le chargeur métallique de 75 cartouches pour RPK convient aux 7,62x39 AK et aux armes compatibles.",用于 RPK 的 75 发金属弹匣适合 7.62x39 AK 和兼容武器。,RPK用の75発メタルマガジンは7.62x39 AKおよび互換性のある武器に適合します。,"O carregador de metal de 75 cartuchos para RPK cabe em AK 7,62x39 e armas compatíveis.",用于 RPK 的 75 发金属弹匣适合 7.62x39 AK 和兼容武器。,
STR_kr_magazines_762x51_m240_150Rnd,M240 box .308 150 Rnd,M240 box .308 150 Rnd,"M240 krabice ,308 150 Rnd",M240 Box .308 150 Rnd,Короб M240 .308 150 Пт,Pudełko M240 .308 150 Rnd,M240 doboz .308 150 Rnd,Scatola M240 .308 150 Rnd,Caja M240 .308 150 Rnd,Boîte M240 .308 150 tours,M240 盒 .308 150 Rnd,M240ボックス.308 150Rnd,Caixa M240 .308 150 Rnd,M240 盒 .308 150 Rnd,
STR_kr_magazines_762x51_m240_150Rnd_dsc,Ammo box for M240. 150 rounds .308 cal,Ammo box for M240. 150 rounds .308 cal,Munice pro M240. 150 ran .308 kal,Munitionskiste für M240. 150 Schuss Kaliber .308,Короб с лентами для М240 на 150 патронов. Калибо 7.62x51 NATO,Skrzynka na amunicję do M240. 150 nabojów .308 kal,Lőszerdoboz M240-hez. 150 kör .308 cal,Scatola di munizioni per M240. 150 colpi .308 cal,Caja de munición para M240. 150 rondas calibre .308,Boîte à munitions pour M240. 150 cartouches .308 cal,M240 的弹药箱。 150 发 0.308 口径,M240用の弾薬箱。 150発 .308cal,"Caixa de munição para M240. 150 rodadas 0,308 cal",M240 的弹药箱。 150 发 0.308 口径,
STR_kr_magazines_762x51_dsarms_10Rnd,FAL .308 10 Rnd,FAL .308 10 Rnd,"FAL ,308 10 Rnd",FAL .308 10 Rnd,FAL .308 10 Пт,FAL .308 10 Rnd,FAL .308 10 Rnd,FAL .308 10 Rnd,FAL .308 10 vueltas,FAL .308 10 tours,FAL .308 10 轮,FAL .308 10 ラウンド,FAL .308 10 volta,FAL .308 10 轮,
STR_kr_magazines_762x51_dsarms_10Rnd_dsc,"10 rnd, double stack steel magazine for a FAL/SA-58 7.62x51 NATO rounds.","10 rnd, double stack steel magazine for a FAL/SA-58 7.62x51 NATO rounds.","10 rnd, dvouvrstvý ocelový zásobník pro náboje FAL/SA-58 7,62x51 NATO.","10-Schuss-Doppelstapel-Stahlmagazin für eine FAL/SA-58 7,62 x 51 NATO-Patronen.","10-ти зарядный, двухрядный стальной магазин для FAL/SA-58, под патрон .308 NATO.","10-nabojowy, podwójny magazynek stalowy do nabojów NATO FAL/SA-58 7,62x51.","10., kétsoros acél tár FAL/SA-58 7.62x51 NATO töltényekhez.","Caricatore double stack in acciaio da 10 colpi per un FAL/SA-58 7,62x51 colpi NATO.","Cargador de acero de doble pila de 10 vueltas para cartuchos FAL/SA-58 7,62x51 NATO.","Chargeur en acier à double pile de 10 coups pour cartouches OTAN FAL/SA-58 7,62x51.",10 发双层钢制弹匣，适用于 FAL/SA-58 7.62x51 NATO 子弹。,10 連、FAL/SA-58 7.62x51 NATO 弾用のダブルスタック スチール マガジン。,"10º carregador de aço de pilha dupla para cartuchos FAL/SA-58 7,62x51 NATO.",10 发双层钢制弹匣，适用于 FAL/SA-58 7.62x51 NATO 子弹。,
STR_kr_magazines_762x51_kac_steel_10Rnd,Kac .308 10 Rnd,Kac .308 10 Rnd,"Kac ,308 10 Rnd",Kac .308 10 Rnd,Kac .308 10 Пт,Kac .308 10 Rnd,Kac .308 10 Rnd,Kac .308 10 Rnd,Kac .308 10 vueltas,Kac .308 10 tours,卡茨 .308 10 轮,Kac .308 10 Rnd,Kac .308 10 volta,卡茨 .308 10 轮,
STR_kr_magazines_762x51_kac_steel_10Rnd_dsc,"10 rnd, double stack, steel Knight's Armament magazine for a 7.62x51 NATO.","10 rnd, double stack, steel Knight's Armament magazine for a 7.62x51 NATO.","10 rnd, dvojitý zásobník, ocelový zásobník Knight's Armament pro 7,62x51 NATO.","10 Schuss, Doppelstapel, Stahlmagazin von Knight's Armament für eine 7,62 x 51 NATO.","10-ти зарядный, двухрядный стальной магазин производства Knight's Armament Company, под патрон .308 NATO.","Stalowy magazynek Knight's Armament o pojemności 10 sztuk, z podwójnym stosem, do karabinu NATO 7,62x51.","10., dupla kötegű, acél Knight's Armament magazin 7,62x51-es NATO-hoz.","Caricatore Knight's Armament da 10 colpi, doppio stack, in acciaio per un NATO 7,62x51.","Cargador Knight's Armament de acero de 10 vueltas, doble pila, para un 7,62x51 NATO.","Chargeur d'armement Knight's Armament en acier de 10 coups, double pile, pour un OTAN 7,62x51.",10 发双排钢制骑士武器弹匣，适用于 7.62x51 NATO。,10 連、ダブルスタック、7.62x51 NATO 用のスチール製 Knight's Armament マガジン。,"10º carregador de aço Knight's Armament, pilha dupla, para uma OTAN 7,62x51.",10 发双排钢制骑士武器弹匣，适用于 7.62x51 NATO。,
STR_kr_magazines_762x51_kac_steel_20Rnd,Kac .308 20 Rnd,Kac .308 20 Rnd,"Kac ,308 20 Rnd",Kac .308 20 Rnd,Kac .308 20 Пт,Kac .308 20 Rnd,Kac .308 20 Rnd,Kac .308 20 Rnd,Kac .308 20 vueltas,Kac .308 20 tours,卡茨 .308 20 轮,Kac .308 20 Rnd,Kac .308 20 volta,卡茨 .308 20 轮,
STR_kr_magazines_762x51_kac_steel_20Rnd_dsc,"20 rnd, double stack, steel Knight's Armament magazine for a 7.62x51 NATO.","20 rnd, double stack, steel Knight's Armament magazine for a 7.62x51 NATO.","20 rnd, dvojitý zásobník, ocelový zásobník Knight's Armament pro 7,62x51 NATO.","20 Schuss, Doppelstapel, Stahlmagazin von Knight's Armament für eine 7,62 x 51 NATO.","20-ти зарядный, двухрядный стальной магазин производства Knight's Armament Company, под патрон .308 NATO.","Stalowy magazynek Knight's Armament o pojemności 20 sztuk, podwójny stos, do karabinu NATO 7,62x51.","20. számú, dupla kötegű, acél Knight's Armament magazin 7,62x51-es NATO-hoz.","Caricatore Knight's Armament da 20 colpi, doppio stack, in acciaio per un NATO 7,62x51.","Cargador Knight's Armament de acero de 20 rnd, doble pila, para 7,62x51 NATO.","Chargeur Knight's Armament en acier de 20 coups, double pile, pour un OTAN 7,62x51.",20 发双排钢制骑士武器弹匣，适用于 7.62x51 NATO。,20 発、ダブルスタック、7.62x51 NATO 用のスチール製 Knight's Armament マガジン。,"20º, pilha dupla, carregador Knight's Armament de aço para uma OTAN 7,62x51.",20 发双排钢制骑士武器弹匣，适用于 7.62x51 NATO。,
STR_kr_magazines_762x51_pmag_20Rnd,PMAG .308 20 Rnd,PMAG .308 20 Rnd,"PMAG ,308 20 Rnd",PMAG .308 20 Rnd,PMAG .308 20 Пт,PMAG .308 20 Rnd,PMAG .308 20 Rnd,PMAG .308 20 Rnd,PMAG .308 20 vueltas,PMAG .308 20 tours,PMAG .308 20 轮,PMAG .308 20 Rnd,PMAG .308 20 Volta,PMAG .308 20 轮,
STR_kr_magazines_762x51_pmag_20Rnd_dsc,"20 rnd, double stack magazine PMAG SR/LR GEN M3 20, for a 7.62x51 NATO.","20 rnd, double stack magazine PMAG SR/LR GEN M3 20, for a 7.62x51 NATO.","20 rnd, dvousložkový zásobník PMAG SR/LR GEN M3 20, pro 7,62x51 NATO.","20 Schuss, Doppelstapelmagazin PMAG SR/LR GEN M3 20, für eine 7,62 x 51 NATO.","20-ти зарядный, двухрядный полимерный магазин Magpul PMAG SR/LR GEN M3 20, под патрон .308 NATO.","Dwurzędowy magazynek PMAG SR/LR GEN M3 20 o pojemności 20 nabojów, do amunicji NATO 7,62x51.","20-as, dupla köteges tár, PMAG SR/LR GEN M3 20, 7,62x51-es NATO-hoz.","20 colpi, caricatore bifilare PMAG SR/LR GEN M3 20, per un 7,62x51 NATO.","20 rnd, cargador de doble pila PMAG SR/LR GEN M3 20, para 7,62x51 NATO.","20 coups, chargeur double pile PMAG SR/LR GEN M3 20, pour un NATO 7,62x51.",20 发双排弹匣 PMAG SR/LR GEN M3 20，适用于 7.62x51 NATO。,20 連、ダブルスタックマガジン PMAG SR/LR GEN M3 20、7.62x51 NATO 用。,"20º, carregador de pilha dupla PMAG SR/LR GEN M3 20, para uma NATO 7,62x51.",20 发双排弹匣 PMAG SR/LR GEN M3 20，适用于 7.62x51 NATO。,
STR_kr_magazines_762x51_dsarms_20Rnd,FAL .308 20 Rnd,FAL .308 20 Rnd,"FAL ,308 20 Rnd",FAL .308 20 Rnd,FAL .308 20 Пт,FAL .308 20 Rnd,FAL .308 20 Rnd,FAL .308 20 Rnd,FAL .308 20 vueltas,FAL .308 20 tours,FAL .308 20 轮,FAL .308 20 ラウンド,FAL .308 20 Volta,FAL .308 20 轮,
STR_kr_magazines_762x51_dsarms_20Rnd_dsc,"20 rnd, double stack steel magazine for a FAL/SA-58 7.62x51 NATO rounds.","20 rnd, double stack steel magazine for a FAL/SA-58 7.62x51 NATO rounds.","20 rnd, dvouvrstvý ocelový zásobník pro náboje FAL/SA-58 7,62x51 NATO.","20-Schuss-Doppelstapel-Stahlmagazin für eine FAL/SA-58 7,62 x 51 NATO-Patronen.","20-ти зарядный, двухрядный стальной магазин для FAL/SA-58, под патрон .308 NATO.","Dwurzędowy, stalowy magazynek na 20 kulek do nabojów NATO FAL/SA-58 7,62x51.","20. számú, kétsoros acél tár FAL/SA-58 7,62x51 NATO töltényekhez.","Caricatore double stack in acciaio da 20 colpi per un FAL/SA-58 7,62x51 colpi NATO.","Cargador de acero de doble pila de 20 vueltas para rondas FAL/SA-58 7,62x51 OTAN.","Chargeur en acier à double pile de 20 coups pour cartouches OTAN FAL/SA-58 7,62x51.",20 发双层钢制弹匣，适用于 FAL/SA-58 7.62x51 NATO 子弹。,20 連、FAL/SA-58 7.62x51 NATO 弾用のダブルスタック スチール マガジン。,"20º carregador de aço de pilha dupla para cartuchos FAL/SA-58 7,62x51 NATO.",20 发双层钢制弹匣，适用于 FAL/SA-58 7.62x51 NATO 子弹。,
STR_kr_magazines_762x51_dsarms_30Rnd,FAL .308 30 Rnd,FAL .308 30 Rnd,"FAL ,308 30 Rnd",FAL .308 30 Rnd,FAL .308 30 Пт,FAL .308 30 Rnd,FAL .308 30 Rnd,FAL .308 30 Rnd,FAL .308 30 vueltas,FAL .308 30 tours,FAL .308 30 轮,FAL .308 30 ラウンド,FAL .308 30 Volta,FAL .308 30 轮,
STR_kr_magazines_762x51_dsarms_30Rnd_dsc,A 30-round double-stack steel magazine for FAL/SA-58 7.62x51 NATO rounds.,A 30-round double-stack steel magazine for FAL/SA-58 7.62x51 NATO rounds.,"30ranný dvouvrstvý ocelový zásobník pro náboje FAL/SA-58 7,62x51 NATO.","Ein 30-Schuss-Doppelstapel-Stahlmagazin für FAL/SA-58 7,62x51 NATO-Patronen.","30-ти зарядный, двухрядный стальной магазин для FAL/SA-58, под патрон .308 NATO.","Dwurzędowy, stalowy magazynek na 30 nabojów na naboje NATO FAL/SA-58 7,62x51.","Egy 30 golyós, kétsoros acél tár FAL/SA-58 7,62x51 NATO töltényekhez.","Un caricatore in acciaio bifilare da 30 colpi per colpi NATO FAL/SA-58 7,62x51.","Un cargador de acero de doble pila de 30 balas para balas FAL/SA-58 7,62x51 OTAN.","Un chargeur en acier à double pile de 30 cartouches pour les cartouches OTAN FAL/SA-58 7,62x51.",30 发双排钢质弹匣，适用于 FAL/SA-58 7.62x51 NATO 子弹。,FAL/SA-58 7.62x51 NATO弾用の30発ダブルスタックスチールマガジン。,"Um carregador de aço de pilha dupla de 30 cartuchos para cartuchos FAL/SA-58 7,62x51 NATO.",30 发双排钢质弹匣，适用于 FAL/SA-58 7.62x51 NATO 子弹。,
STR_kr_magazines_762x51_mmw_20Rnd,MMW .308 20 Rnd,MMW .308 20 Rnd,"MMW ,308 20 Rnd",MMW .308 20 Rnd,MMW .308 20 Пт,MMW .308 20 Rnd,MMW .308 20 Rnd,MMW .308 20 Rnd,MMW .308 20 vueltas,MMW .308 20 tours,毫米波.308 20 Rnd,MMW .308 20 ラウンド,"MMW 0,308 20 volta",毫米波.308 20 Rnd,
STR_kr_magazines_762x51_mmw_20Rnd_dsc,"20 rnd, double stack plastic magazine for a FAL/SA-58 7.62x51 NATO rounds.","20 rnd, double stack plastic magazine for a FAL/SA-58 7.62x51 NATO rounds.","20 rnd, dvousložkový plastový zásobník pro náboje FAL/SA-58 7,62x51 NATO.","20-Schuss-Doppelstapel-Kunststoffmagazin für eine FAL/SA-58 7,62x51 NATO-Patronen.","20-ти зарядный, двухрядный полимерный магазин для FAL/SA-58, под патрон .308 NATO.","Magazynek plastikowy o pojemności 20 kulek, dwurzędowy, przeznaczony do nabojów FAL/SA-58 7,62x51 NATO.","20., dupla kötegű műanyag tár FAL/SA-58 7,62x51 NATO töltényekhez.","Caricatore in plastica double stack da 20 colpi per un FAL/SA-58 7,62x51 colpi NATO.","Cargador de plástico de doble pila de 20 vueltas para rondas FAL/SA-58 7,62x51 OTAN.","Chargeur en plastique double pile de 20 coups pour cartouches OTAN FAL/SA-58 7,62x51.",20 发双层塑料弹匣，适用于 FAL/SA-58 7.62x51 NATO 子弹。,20発目、FAL/SA-58 7.62x51 NATO弾用のダブルスタックプラスチックマガジン。,"20º carregador de plástico de pilha dupla para cartuchos FAL/SA-58 7,62x51 NATO.",20 发双层塑料弹匣，适用于 FAL/SA-58 7.62x51 NATO 子弹。,
STR_kr_magazines_762x51_sarco_30Rnd,SLR .308 30 Rnd,SLR .308 30 Rnd,"SLR ,308 30 Rnd",SLR .308 30 Rnd,SLR .308 30 Пт,Lustrzanka .308 30 Rnd,SLR .308 30 Rnd,SLR .308 30 Rnd,SLR .308 30 vueltas,SLR .308 30 tours,单反.308 30 Rnd,SLR .308 30 ラウンド,SLR .308 30 volta,单反.308 30 Rnd,
STR_kr_magazines_762x51_sarco_30Rnd_dsc,"A 30-round double-stack steel 7.62x51 magazine for L1A1 Self-Loading Rifle (SLR), a British version of FN FAL.","A 30-round double-stack steel 7.62x51 magazine for L1A1 Self-Loading Rifle (SLR), a British version of FN FAL.","30ranný dvouvrstvý ocelový zásobník 7,62x51 pro samonabíjecí pušku L1A1 (SLR), britskou verzi FN FAL.","Ein 30-Schuss-Doppelstapel-Stahlmagazin im Kaliber 7,62 x 51 für das L1A1 Self-Loading Rifle (SLR), eine britische Version des FN FAL.","Британский 30-ти зарядный, двухрядный стальной магазин для FAL/L1A1, под патрон .308 NATO.","30-nabojowy, dwurzędowy, stalowy magazynek 7,62x51 do karabinu samozaładowczego L1A1 (SLR), brytyjskiej wersji FN FAL.","Egy 30 lövedékes, kétsoros acél, 7,62x51 méretű tár az L1A1 öntöltő puskához (SLR), az FN FAL brit változatához.","Un caricatore bifilare in acciaio 7,62x51 da 30 colpi per il fucile a caricamento automatico (SLR) L1A1, una versione britannica del FN FAL.","Un cargador de acero de doble pila de 30 balas de 7,62 x 51 para el rifle de carga automática (SLR) L1A1, una versión británica del FN FAL.","Un chargeur en acier à double pile de 30 cartouches 7,62x51 pour le fusil à chargement automatique L1A1 (SLR), une version britannique du FN FAL.",30 发双层钢制 7.62x51 弹匣，适用于 L1A1 自动装弹步枪 (SLR)，英国版 FN FAL。,FN FALのイギリス版であるL1A1セルフローディングライフル(SLR)用の30発ダブルスタックスチール製7.62x51マガジン。,"Um carregador de aço de pilha dupla de 30 cartuchos 7,62x51 para L1A1 Self-Loading Rifle (SLR), uma versão britânica do FN FAL.",30 发双层钢制 7.62x51 弹匣，适用于 L1A1 自动装弹步枪 (SLR)，英国版 FN FAL。,
STR_kr_magazines_762x51_xproduct_50Rnd,X Products .308 50 Rnd,X Products .308 50 Rnd,"X Produkty ,308 50 Rnd",X Produkte .308 50 Rnd,X Products .308 50 Пт,X Produkty .308 50 Rnd,"X Termékek ,308 50 Rnd",X Prodotti .308 50 Rnd,X Productos .308 50 Rnd,Produits X .308 50 tours,X 产品 .308 50 Rnd,X 製品 .308 50 Rnd,Produtos X .308 50 Rnd,X 产品 .308 50 Rnd,
STR_kr_magazines_762x51_xproduct_50Rnd_dsc,"X-FAL is a 50 rnd, drum magazine for a FAL/SA-58 7.62x51 NATO rounds. Produced by X-Products.","X-FAL is a 50 rnd, drum magazine for a FAL/SA-58 7.62x51 NATO rounds. Produced by X-Products.","X-FAL je 50 rnd, bubnový zásobník pro náboje FAL/SA-58 7,62x51 NATO. Vyrábí společnost X-Products.","X-FAL ist ein 50-Schuss-Trommelmagazin für eine FAL/SA-58 im Kaliber 7,62 x 51 NATO-Patronen. Produziert von X-Products.","50-ти зарядный магазин X-FALдля FAL/SA-58, под патрон .308 NATO. Производства X-Products. ","X-FAL to 50-nabojowy magazynek bębnowy do amunicji NATO FAL/SA-58 7,62x51. Wyprodukowany przez X-Products.","Az X-FAL egy 50. számú dobtár FAL/SA-58 7,62x51 NATO töltényekhez. Az X-Products készítette.",X-FAL è un caricatore a tamburo da 50 colpi per colpi NATO FAL/SA-58 7.62x51. Prodotto da X-Prodotti.,X-FAL es un cargador de tambor de 50 rnd para rondas FAL/SA-58 7.62x51 NATO. Producido por X-Products.,"X-FAL est un chargeur à tambour de 50 coups pour les cartouches OTAN FAL/SA-58 7,62x51. Produit par X-Products.",X-FAL 是一款 50 发弹鼓弹匣，适用于 FAL/SA-58 7.62x51 NATO 子弹。由 X-Products 生产。,X-FAL は、FAL/SA-58 7.62x51 NATO 弾用の 50 発ドラムマガジンです。制作はX-Products。,"X-FAL é um carregador de bateria de 50 voltas para cartuchos FAL/SA-58 7,62x51 NATO. Produzido por X-Produtos.",X-FAL 是一款 50 发弹鼓弹匣，适用于 FAL/SA-58 7.62x51 NATO 子弹。由 X-Products 生产。,
STR_kr_magazines_762x51_mcmillan_cs5_10Rnd,McMillan CS5 .308 10 Rnd,McMillan CS5 .308 10 Rnd,McMillan CS5 .308 10 Rnd,McMillan CS5 .308 10 Rnd,McMillan CS5 .308 10 Пт,McMillan CS5 .308 10 Rnd,McMillan CS5 .308 10 Rnd,McMillan CS5 .308 10 Rnd,McMillan CS5 .308 10 vueltas,McMillan CS5 .308 10 tours,麦克米伦 CS5 .308 10 轮,マクミラン CS5 .308 10 ラウンド,McMillan CS5 .308 10 volta,麦克米伦 CS5 .308 10 轮,
STR_kr_magazines_762x51_mcmillan_cs5_10Rnd_dsc,"McMillan CS5 10 rnd, double stack, steel magazine for a 7.62x51 NATO.","McMillan CS5 10 rnd, double stack, steel magazine for a 7.62x51 NATO.","McMillan CS5 10 rnd, dvojitý zásobník, ocelový zásobník pro 7,62x51 NATO.","McMillan CS5 10 Schuss, Doppelstapel, Stahlmagazin für eine 7,62 x 51 NATO.","10-ти зарядный, двухрядный стальной магазин для McMillan CS5, под патрон .308 NATO.","Magazynek stalowy McMillan CS5 10 rund, podwójny, do pistoletu NATO 7,62x51.","McMillan CS5 10 rnd, dupla kötegű, acél tár 7,62x51-es NATO-hoz.","Caricatore McMillan CS5 10 colpi, double stack, in acciaio per calibro 7,62x51 NATO.","McMillan CS5 10 rnd, doble pila, cargador de acero para 7,62x51 NATO.","McMillan CS5 10 coups, double pile, chargeur en acier pour un NATO 7,62x51.",McMillan CS5 10 发双排钢弹匣，适用于 7.62x51 NATO。,マクミラン CS5 10 連、ダブルスタック、7.62x51 NATO 用スチールマガジン。,"McMillan CS5 10 rnd, pilha dupla, carregador de aço para um NATO 7,62x51.",McMillan CS5 10 发双排钢弹匣，适用于 7.62x51 NATO。,
STR_kr_magazines_762x51_mcmillan_cs5_20Rnd,McMillan CS5 .308 20 Rnd,McMillan CS5 .308 20 Rnd,"McMillan CS5 ,308 20 Rnd",McMillan CS5 .308 20 Rnd,McMillan CS5 .308 20 Пт,McMillan CS5 .308 20 Rnd,McMillan CS5 .308 20 Rnd,McMillan CS5 .308 20 Rnd,McMillan CS5 .308 20 vueltas,McMillan CS5 .308 20 tours,麦克米伦 CS5 .308 20 Rnd,マクミラン CS5 .308 20 ラウンド,McMillan CS5 .308 20 voltas,麦克米伦 CS5 .308 20 Rnd,
STR_kr_magazines_762x51_mcmillan_cs5_20Rnd_dsc,"McMillan CS5  20 rnd, double stack, steel magazine for a 7.62x51 NATO.","McMillan CS5  20 rnd, double stack, steel magazine for a 7.62x51 NATO.","McMillan CS5 20 rnd, dvousložkový, ocelový zásobník pro 7,62x51 NATO.","McMillan CS5 20 Schuss, Doppelstapel, Stahlmagazin für eine 7,62 x 51 NATO.","20-ти зарядный, двухрядный стальной магазин для McMillan CS5, под патрон .308 NATO.","Magazynek stalowy McMillan CS5 20 rund, podwójny, do pistoletu NATO 7,62x51.","McMillan CS5 20 rnd, dupla kötegű, acél tár 7,62x51-es NATO-hoz.","Caricatore McMillan CS5 da 20 colpi, double stack, in acciaio per calibro NATO 7,62x51.","McMillan CS5 20 rnd, doble pila, cargador de acero para 7,62x51 NATO.","McMillan CS5 20 coups, double pile, chargeur en acier pour un NATO 7,62x51.",McMillan CS5 20 发双排钢弹匣，适用于 7.62x51 NATO。,マクミラン CS5 20 連、ダブルスタック、7.62x51 NATO 用スチールマガジン。,"McMillan CS5 20 rnd, pilha dupla, carregador de aço para um NATO 7,62x51.",McMillan CS5 20 发双排钢弹匣，适用于 7.62x51 NATO。,
STR_kr_magazines_762x54_pkp_magazine,PKP 7.62x54 Ammo Box 100 Rnd,PKP 7.62x54 Ammo Box 100 Rnd,"PKP 7,62x54 Nábojník 100 Rnd","PKP 7,62x54 Munitionskiste 100 Rnd",ПКП 7.62x54 короб 100 Пт,"Skrzynka na amunicję PKP 7,62x54 100 szt","PKP 7,62x54 lőszerdoboz 100 Rnd",Scatola di munizioni PKP 7.62x54 100 Rnd,"Caja de munición PKP 7,62x54 100 unidades",Boîte de munitions PKP 7.62x54 100 tours,PKP 7.62x54 弹药箱 100 发,PKP 7.62x54 弾薬箱 100 Rnd,"Caixa de munição PKP 7,62x54 100 Rnd",PKP 7.62x54 弹药箱 100 发,
STR_kr_magazines_762x54_pkp_magazine_dsc,PKP 7.62x54 Ammo Box 100 Rnd,PKP 7.62x54 Ammo Box 100 Rnd,"PKP 7,62x54 Nábojník 100 Rnd","PKP 7,62x54 Munitionskiste 100 Rnd",Штатный короб для ПКМ/ПКП с лентой на 100 патронов калибра 7.64x54,"Skrzynka na amunicję PKP 7,62x54 100 szt","PKP 7,62x54 lőszerdoboz 100 Rnd",Scatola di munizioni PKP 7.62x54 100 Rnd,"Caja de munición PKP 7,62x54 100 unidades",Boîte de munitions PKP 7.62x54 100 tours,PKP 7.62x54 弹药箱 100 发,PKP 7.62x54 弾薬箱 100 Rnd,"Caixa de munição PKP 7,62x54 100 Rnd",PKP 7.62x54 弹药箱 100 发,
STR_kr_magazines_762x54_svd_10,SVD 7.62x54R 10 Rnd,SVD 7.62x54R 10 Rnd,"SVD 7,62x54R 10 Rnd","SVD 7,62x54R 10 Rnd",СВД 7.62x54R 10 Пт,"SVD 7,62x54R 10 Rnd","SVD 7,62x54R 10 Rnd",SVD 7.62x54R 10 Rnd,"SVD 7,62x54R 10 vueltas","SVD 7,62x54R 10 tours",SVD 7.62x54R 10 轮,SVD 7.62x54R 10 ラウンド,"SVD 7,62x54R 10 voltas",SVD 7.62x54R 10 轮,
STR_kr_magazines_762x54_svd_10_dsc,"10-round steel Izhmash SVD magazine, for the SVD-based rifles, for 7.62x54 ammo.","10-round steel Izhmash SVD magazine, for the SVD-based rifles, for 7.62x54 ammo.","10ranný ocelový zásobník Izhmash SVD, pro pušky založené na SVD, pro náboje 7,62x54.","10-Schuss-Stahlmagazin Izhmash SVD für die SVD-basierten Gewehre für 7,62 x 54 Munition.",Стальной магизн СВД на 10 патронов калибра 7.62x54R,"10-nabojowy stalowy magazynek Izhmash SVD, do karabinów na bazie SVD, na amunicję 7,62x54.","10 golyós acél Izhmash SVD tár, SVD alapú puskákhoz, 7,62x54 lőszerhez.","Caricatore Izhmash SVD in acciaio da 10 colpi, per fucili basati su SVD, per munizioni 7,62x54.","Cargador Izhmash SVD de acero de 10 balas, para rifles basados ​​en SVD, para munición de 7,62x54.","Chargeur Izhmash SVD en acier à 10 cartouches, pour les fusils basés sur SVD, pour munitions 7,62x54.",10 发钢制 Izhmash SVD 弹匣，适用于基于 SVD 的步枪，可容纳 7.62x54 弹药。,SVD ベースのライフル用の 10 発スチール製 Izhmash SVD マガジン、7.62x54 弾薬用。,"Carregador Izhmash SVD de aço de 10 cartuchos, para rifles baseados em SVD, para munição 7,62x54.",10 发钢制 Izhmash SVD 弹匣，适用于基于 SVD 的步枪，可容纳 7.62x54 弹药。,
STR_kr_magazines_762x54_svd_20,SVD 7.62x54R 20 Rnd,SVD 7.62x54R 20 Rnd,"SVD 7,62x54R 20 Rnd","SVD 7,62x54R 20 Rnd",СВД 7.62x54R 20 Пт,"SVD 7,62x54R 20 Rnd","SVD 7,62x54R 20 Rnd",SVD 7.62x54R 20 Rnd,"SVD 7,62x54R 20 vueltas","SVD 7,62x54R 20 tours",SVD 7.62x54R 20 轮,SVD 7.62x54R 20 ラウンド,"SVD 7,62x54R 20 voltas",SVD 7.62x54R 20 轮,
