Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_kr_weapons_ammo_9x19_ap_63,9x19mm AP 6.3,9x19mm AP 6.3,9x19mm AP 6.3,9 x 19 mm AP 6.3,9x19мм AP 6.3,9x19mm AP 6.3,9x19mm AP 6.3,9x19mm AP 6.3,9x19 mm AP 6.3,9x19mm AP 6.3,9x19毫米AP 6.3,9x19mm AP 6.3,9x19mm AP 6.3,9x19毫米AP 6.3,
STR_kr_weapons_ammo_9x19_ap_63_dsc,"A 9x19 mm Parabellum AP 6.3 cartridge with a two-part controlled fragmenting projectile, an armor-piercing bullet that features a brass sabot and a hardened steel penetrator of 6.3mm. Thanks to the design of the AP bullet (Armor-Piercing) and despite having an average muzzle velocity relative to other cartridges of the same caliber, it has capabilities of piercing basic ballistic body protection along with some intermediate models.","A 9x19 mm Parabellum AP 6.3 cartridge with a two-part controlled fragmenting projectile, an armor-piercing bullet that features a brass sabot and a hardened steel penetrator of 6.3mm. Thanks to the design of the AP bullet (Armor-Piercing) and despite having an average muzzle velocity relative to other cartridges of the same caliber, it has capabilities of piercing basic ballistic body protection along with some intermediate models.","Náboj 9x19 mm Parabellum AP 6.3 s dvoudílnou řízenou tříštivou střelou, pancéřovou střelou s mosazným sabotem a penetrátorem z tvrzené oceli ráže 6,3 mm. Díky konstrukci střely AP (Armor-Piercing) a přestože má průměrnou úsťovou rychlost ve srovnání s ostatními náboji stejné ráže, má schopnost prorazit základní balistickou ochranu těla spolu s některými přechodnými modely.","Eine 9 x 19 mm Parabellum AP 6.3-Patrone mit einem zweiteiligen, kontrollierten Splitterprojektil, einem panzerbrechenden Geschoss mit Messingsabot und einem 6,3 mm starken Penetrator aus gehärtetem Stahl. Dank der Konstruktion des AP-Geschosses (panzerbrechend) und trotz einer im Vergleich zu anderen Patronen gleichen Kalibers durchschnittlichen Mündungsgeschwindigkeit kann es neben einigen Zwischenmodellen auch einfachen ballistischen Körperschutz durchschlagen.","Патрон 9x19мм Парабеллум AP 6.3 (Armor-Piercing - Бронебойная) с двухэлементной бронебойной пулей с 6.3мм наконечником из закаленной стали и латунным поддоном. Несмотря на то, что пуля имеет среднюю начальную скорость относительно других патронов того же калибра, она обладает высокой бронепробиваемостью против базового и среднего уровня защиты и поражающей способностью.","Nabój 9x19 mm Parabellum AP 6.3 z dwuczęściowym kontrolowanym pociskiem odłamkowym, pocisk przeciwpancerny z mosiężnym sabotem i hartowanym stalowym penetratorem 6,3 mm. Dzięki konstrukcji pocisku AP (Armor-Piercing) i pomimo średniej prędkości początkowej w porównaniu z innymi nabojami tego samego kalibru, ma on zdolność przebijania podstawowej balistycznej ochrony ciała wraz z niektórymi pośrednimi modelami.","Egy 9x19 mm-es Parabellum AP 6.3 töltény kétrészes, vezérelt szilánkos lövedékkel, egy páncéltörő golyóval, amely sárgaréz szabottal és egy 6,3 mm-es edzett acél áthatolóval rendelkezik. Az AP golyó (Armor-Piercing) kialakításának köszönhetően, és annak ellenére, hogy átlagos torkolati sebessége más, azonos kaliberű patronokhoz képest, képes átszúrni az alapvető ballisztikus testvédelmet, valamint néhány köztes modellt.","Una cartuccia 9x19 mm Parabellum AP 6.3 con un proiettile a frammentazione controllata in due parti, un proiettile perforante con sabot in ottone e penetratore in acciaio temprato da 6,3 mm. Grazie al design del proiettile AP (Armor-Piercing) e nonostante una velocità iniziale media rispetto ad altre cartucce dello stesso calibro, ha la capacità di perforare le protezioni balistiche di base e alcuni modelli intermedi.","Un cartucho Parabellum AP 6.3 de 9x19 mm con un proyectil de fragmentación controlada de dos partes, una bala perforante con un sabot de latón y un penetrador de acero endurecido de 6,3 mm. Gracias al diseño de la bala AP (perforante), y a pesar de su velocidad inicial promedio en comparación con otros cartuchos del mismo calibre, puede perforar la protección balística básica del cuerpo, así como algunos modelos intermedios.","Cartouche 9x19 mm Parabellum AP 6.3 avec projectile à fragmentation contrôlée en deux parties, une balle perforante dotée d'un sabot en laiton et d'un pénétrateur en acier trempé de 6,3 mm. Grâce à sa conception AP (Armor-Piercing) et malgré une vitesse initiale moyenne par rapport aux autres cartouches du même calibre, elle est capable de percer les protections balistiques corporelles de base, ainsi que certains modèles intermédiaires.",9x19 毫米帕拉贝鲁姆 AP 6.3 子弹，配备两段式控制破片弹头、黄铜弹托穿甲弹头和 6.3 毫米硬化钢制穿甲弹头。得益于 AP 子弹（穿甲弹）的设计，尽管其初速相对于同口径的其他子弹而言较为平均，但它能够击穿基本的防弹衣以及一些中等强度的防护层。,9x19mmパラベラムAP 6.3弾は、真鍮製のサボと6.3mmの硬化鋼製貫通部を備えた徹甲弾（徹甲弾）と、2つのパーツからなる制御破片弾からなる弾頭を備えています。AP弾（徹甲弾）の設計と、同口径の他の弾薬と比較して平均的な銃口速度にもかかわらず、基本的な弾道防御構造に加え、一部の中間レベルの防弾構造も貫通する能力を備えています。,"Um cartucho Parabellum AP 6.3 de 9x19 mm com um projétil de fragmentação controlada de duas partes, um projétil perfurante com sabot de latão e um penetrador de aço temperado de 6,3 mm. Graças ao design do projétil AP (Perfurante de Blindagem) e apesar de ter uma velocidade de saída média em relação a outros cartuchos do mesmo calibre, ele tem capacidade de perfurar a proteção balística básica do corpo, assim como alguns modelos intermediários.",9x19 毫米帕拉贝鲁姆 AP 6.3 子弹，配备两段式控制破片弹头、黄铜弹托穿甲弹头和 6.3 毫米硬化钢制穿甲弹头。得益于 AP 子弹（穿甲弹）的设计，尽管其初速相对于同口径的其他子弹而言较为平均，但它能够击穿基本的防弹衣以及一些中等强度的防护层。,
STR_kr_weapons_ammo_9x19_gt,9x19mm Green Tracer,9x19mm Green Tracer,9x19mm Green Tracer,9 x 19 mm grüner Leuchtspur,9x19мм Т гж,9x19mm Zielony znacznik,9x19 mm-es zöld nyomkövető,Tracciante verde 9x19mm,trazador verde de 9 x 19 mm,Traceur vert 9x19 mm,9x19mm 绿色曳光弹,9x19mmグリーン曳光弾,Tracer verde 9x19mm,9x19mm 绿色曳光弹,
STR_kr_weapons_ammo_9x19_gt_dsc,"A 9x19mm Parabellum Green Tracer cartridge. Intended for target designation and fire adjustment in battle (Trace color: Green). Despite featuring a steel core, the bullet in this cartridge still has difficulties piercing basic ballistic body protection, however, it can provide a significant stopping power effect on the target.","A 9x19mm Parabellum Green Tracer cartridge. Intended for target designation and fire adjustment in battle (Trace color: Green). Despite featuring a steel core, the bullet in this cartridge still has difficulties piercing basic ballistic body protection, however, it can provide a significant stopping power effect on the target.","Kazeta Parabellum Green Tracer 9x19 mm. Určeno pro určení cíle a úpravu palby v bitvě (barva stopy: zelená). Navzdory ocelovému jádru má střela v tomto náboji stále potíže s proražením základní balistické ochrany těla, ale může poskytnout významný brzdný účinek na cíl.","Eine 9 x 19 mm Parabellum Green Tracer-Patrone. Zur Zielmarkierung und Feuerkorrektur im Gefecht (Farbe der Leuchtspur: Grün). Trotz Stahlkern hat das Geschoss dieser Patrone Schwierigkeiten, den grundlegenden ballistischen Körperschutz zu durchdringen, kann aber dennoch eine erhebliche Stoppwirkung auf das Ziel erzielen.","Патрон 9х19мм Парабеллум Green Tracer с трассирующей пулей. Предназначен для целеуказания и корректировки огня в бою (цвет трассера: Зеленый). Несмотря на наличие стального сердечника, пуля в этом патроне не способна пробивать броню даже базового уровня защиты, однако может оказывать значительное останавливающее воздействие на цель при попадании.","Nabój 9x19 mm Parabellum Green Tracer. Przeznaczony do oznaczania celów i regulacji ognia w bitwie (kolor Trace: zielony). Pomimo stalowego rdzenia, pocisk w tym naboju nadal ma trudności z przebiciem podstawowej ochrony balistycznej ciała, jednak może zapewnić znaczący efekt zatrzymania celu.","Egy 9x19 mm-es Parabellum Green Tracer patron. Célmegjelölésre és csatában a tűz beállítására szolgál (nyomszín: zöld). Annak ellenére, hogy acélmaggal rendelkezik, a töltényben lévő lövedék továbbra is nehezen tudja áthatolni az alapvető ballisztikus testvédelmet, azonban jelentős fékező hatást tud biztosítani a célpontra.","Cartuccia 9x19 mm Parabellum Green Tracer. Pensata per la designazione del bersaglio e la regolazione del fuoco in battaglia (colore del tracciamento: verde). Nonostante il nucleo in acciaio, il proiettile di questa cartuccia ha ancora difficoltà a penetrare la protezione balistica di base, tuttavia può fornire un significativo potere d'arresto sul bersaglio.","Cartucho trazador verde Parabellum de 9x19 mm. Diseñado para designar objetivos y ajustar el fuego en combate (color trazador: verde). A pesar de su núcleo de acero, la bala de este cartucho tiene dificultades para perforar la protección balística básica del cuerpo; sin embargo, puede proporcionar una importante potencia de frenado sobre el objetivo.","Cartouche 9x19 mm Parabellum Green Tracer. Conçue pour la désignation de cible et le réglage du tir en combat (couleur de la trace : verte). Malgré son noyau en acier, la balle de cette cartouche peine à percer les protections balistiques de base. Cependant, elle peut avoir un effet d'arrêt significatif sur la cible.",9x19毫米帕拉贝鲁姆绿色曳光弹。用于战斗中目标指示和火力调整（曳光颜色：绿色）。尽管采用钢芯设计，但该弹头仍然难以穿透基本的防弹衣，不过，它能对目标提供显著的制动力。,9x19mmパラベラムグリーン曳光弾。戦闘中の目標指示と射撃調整に使用されます（曳光色：緑）。鋼鉄製の弾頭コアを備えているにもかかわらず、この弾頭は基本的な弾道防御を貫通するのが困難ですが、標的に対しては大きな制動力を発揮します。,"Um cartucho traçador verde Parabellum 9x19 mm. Destinado à designação de alvos e ajuste de disparo em combate (cor do traçador: verde). Apesar de possuir um núcleo de aço, o projétil deste cartucho ainda tem dificuldade em perfurar a proteção balística básica do corpo, mas pode proporcionar um efeito de parada significativo no alvo.",9x19毫米帕拉贝鲁姆绿色曳光弹。用于战斗中目标指示和火力调整（曳光颜色：绿色）。尽管采用钢芯设计，但该弹头仍然难以穿透基本的防弹衣，不过，它能对目标提供显著的制动力。,
STR_kr_weapons_ammo_9x19_pso_gz,9x19mm PSO gzh,9x19mm PSO gzh,9x19mm PSO gzh,9x19mm PSO gzh,9x19мм ПСО гж,9x19mm PSO gzh,9x19mm PSO gzh,9x19mm PSO gzh,Calibre PSO de 9x19 mm,9x19mm PSO gzh,9x19mm PSO gzh,9x19mm PSO gzh,9x19mm PSO gzh,9x19mm PSO gzh,
STR_kr_weapons_ammo_9x19_pso_gz_dsc,"A 9x19mm Parabellum PSO gzh cartridge with a 7.5 gram bullet in a bimetallic case; intended for sport shooting and hunting. Despite the low muzzle velocity of the bullet, it has considerable stopping power effect, thanks to its exceptional expansion capability after hitting the target.","A 9x19mm Parabellum PSO gzh cartridge with a 7.5 gram bullet in a bimetallic case; intended for sport shooting and hunting. Despite the low muzzle velocity of the bullet, it has considerable stopping power effect, thanks to its exceptional expansion capability after hitting the target.","Náboj Parabellum PSO gzh 9x19 mm s kulkou 7,5 gramu v bimetalovém pouzdře; určeno pro sportovní střelbu a lov. Navzdory nízké úsťové rychlosti střely má díky své výjimečné schopnosti roztažení po zásahu cíle značný brzdný účinek.","Die 9 x 19 mm Parabellum PSO gzh-Patrone mit einem 7,5 Gramm schweren Geschoss in einer Bimetallhülse ist für Sportschießen und Jagd geeignet. Trotz der geringen Mündungsgeschwindigkeit des Geschosses verfügt es dank seiner außergewöhnlichen Expansionsfähigkeit nach dem Auftreffen auf das Ziel über eine beachtliche Mannstoppwirkung.","Патрон 9х19мм Парабеллум ПСО гж (Патрон Спортивно-Охотничий) с пулей массой 7,5 грамм в биметаллической гильзе. Предназначен для спортивной стрельбы и охоты. Несмотря на низкую начальную скорость пули, она обладает значительным останавливающим действием благодаря расширению при попадании в цель.","Nabój 9x19mm Parabellum PSO gzh z pociskiem o masie 7,5 grama w bimetalicznej łusce; przeznaczony do strzelectwa sportowego i polowań. Pomimo niskiej prędkości początkowej pocisku, ma on znaczną siłę zatrzymującą, dzięki wyjątkowej zdolności do rozszerzania się po trafieniu w cel.","9x19 mm-es Parabellum PSO gzh patron 7,5 grammos golyóval, bimetál tokban; sportlövészetre és vadászatra szánták. A lövedék kis torkolati sebessége ellenére jelentős fékező ereje van, köszönhetően a cél eltalálása utáni kivételes tágulási képességének.","Cartuccia calibro 9x19 mm Parabellum PSO gzh con palla da 7,5 grammi in bossolo bimetallico; destinata al tiro sportivo e alla caccia. Nonostante la bassa velocità iniziale del proiettile, offre un notevole potere d'arresto, grazie alla sua eccezionale capacità di espansione dopo aver colpito il bersaglio.","Cartucho 9x19 mm Parabellum PSO gzh con bala de 7,5 gramos en vaina bimetálica; diseñado para tiro deportivo y caza. A pesar de su baja velocidad inicial, posee un considerable poder de frenado gracias a su excepcional capacidad de expansión tras impactar en el blanco.","Cartouche 9x19 mm Parabellum PSO gzh avec balle de 7,5 grammes dans un étui bimétallique ; destinée au tir sportif et à la chasse. Malgré sa faible vitesse initiale, la balle possède un pouvoir d'arrêt considérable grâce à son exceptionnelle capacité d'expansion après avoir touché la cible.",9x19毫米帕拉贝鲁姆PSO gzh子弹，采用双金属弹壳，弹头重7.5克；适用于运动射击和狩猎。尽管子弹初速较低，但由于击中目标后弹头拥有出色的膨胀能力，因此具有相当强的制动力。,9x19mmパラベラムPSO GZH弾は、7.5グラムの弾頭をバイメタルケースに収めた弾頭で、スポーツ射撃や狩猟に適しています。弾頭初速は低いものの、標的に命中した後の優れた弾頭拡張性により、高いストッピングパワーを発揮します。,"Um cartucho 9x19mm Parabellum PSO gzh com um projétil de 7,5 gramas em um estojo bimetálico; destinado ao tiro esportivo e à caça. Apesar da baixa velocidade inicial do projétil, ele possui um considerável poder de parada, graças à sua excepcional capacidade de expansão após atingir o alvo.",9x19毫米帕拉贝鲁姆PSO gzh子弹，采用双金属弹壳，弹头重7.5克；适用于运动射击和狩猎。尽管子弹初速较低，但由于击中目标后弹头拥有出色的膨胀能力，因此具有相当强的制动力。,
STR_kr_weapons_ammo_9x19_quakemaker,9x19mm QuakeMaker,9x19mm QuakeMaker,QuakeMaker 9x19mm,9 x 19 mm QuakeMaker,9x19мм QuakeMaker,9x19mm QuakeMaker,9x19 mm-es QuakeMaker,9x19mm QuakeMaker,QuakeMaker de 9x19 mm,QuakeMaker 9x19 mm,9x19毫米QuakeMaker,9x19mm クエイクメーカー,QuakeMaker 9x19mm,9x19毫米QuakeMaker,
STR_kr_weapons_ammo_9x19_quakemaker_dsc,"A 9x19mm Parabellum QuakeMaker cartridge with an 11.9 gram hollow-point bullet made entirely of lead in a lightweight case of steel with a red anodized aluminum base; intended for home defense and target practice. Due to its design, this cartridge provides an outstanding stopping power effect along with causing severe adverse effects on the target after impact at the cost of penetration capabilities, as well as having a considerably lower muzzle velocity relative to other cartridges of the same caliber.","A 9x19mm Parabellum QuakeMaker cartridge with an 11.9 gram hollow-point bullet made entirely of lead in a lightweight case of steel with a red anodized aluminum base; intended for home defense and target practice. Due to its design, this cartridge provides an outstanding stopping power effect along with causing severe adverse effects on the target after impact at the cost of penetration capabilities, as well as having a considerably lower muzzle velocity relative to other cartridges of the same caliber.","Náboj Parabellum QuakeMaker 9 x 19 mm s 11,9 gramovou střelou s dutou špičkou vyrobenou výhradně z olova v lehkém ocelovém pouzdře s červeně eloxovanou hliníkovou základnou; určené pro domácí obranu a cvičení na terč. Díky své konstrukci poskytuje tento náboj vynikající brzdný účinek spolu se závažnými nepříznivými účinky na cíl po dopadu za cenu průrazných schopností a také má výrazně nižší úsťovou rychlost ve srovnání s jinými náboji stejné ráže.","Eine 9 x 19 mm Parabellum QuakeMaker-Patrone mit einem 11,9 Gramm schweren Hohlspitzgeschoss aus Blei in einer leichten Stahlhülse mit rot eloxiertem Aluminiumboden; geeignet für die Heimverteidigung und Schießübungen. Dank ihrer Konstruktion bietet diese Patrone eine hervorragende Mannstoppwirkung, verursacht aber nach dem Aufprall schwere Schäden am Ziel, was zu Lasten der Durchschlagskraft geht. Zudem weist sie im Vergleich zu anderen Patronen gleichen Kalibers eine deutlich geringere Mündungsgeschwindigkeit auf.","Патрон 9x19мм Парабеллум QuakeMaker с экспансивной свинцовой пулей массой 11,9 грамм в легкой стальной гильзе с закраиной из анодированного в красный алюминия. Предназначен для защиты дома и тренировочной стрельбы. Благодаря своей конструкции, патрон обеспечивает выдающееся останавливающее действие, а также вызывает серьезное травмирующее воздействие на цель после попадания. Имеет значительно более низкую начальную скорость по сравнению с другими патронами того же калибра.","Nabój 9x19 mm Parabellum QuakeMaker z pociskiem hollow-point o masie 11,9 grama wykonanym całkowicie z ołowiu w lekkiej obudowie ze stali z czerwoną anodowaną podstawą aluminiową; przeznaczony do obrony domowej i ćwiczeń strzeleckich. Ze względu na swoją konstrukcję nabój ten zapewnia wyjątkową siłę rażenia, a także powoduje poważne negatywne skutki dla celu po uderzeniu kosztem możliwości penetracji, a także ma znacznie niższą prędkość początkową w porównaniu z innymi nabojami tego samego kalibru.","Egy 9x19 mm-es Parabellum QuakeMaker patron 11,9 grammos üreges hegyű, teljes egészében ólomból készült lövedékkel, könnyű acélházban, vörös eloxált alumínium talppal; házi védekezésre és célgyakorlatra szánták. Kialakításából adódóan ez a kazetta kiemelkedő fékezőerőt biztosít, és a behatolási képességek árán súlyos káros hatásokat okoz a célpontban az ütközés után, valamint lényegesen kisebb a torkolati sebessége a többi azonos kaliberű patronhoz képest.","Cartuccia QuakeMaker 9x19 mm Parabellum con proiettile a punta cava da 11,9 grammi, realizzata interamente in piombo in un bossolo leggero in acciaio con base in alluminio anodizzato rosso; pensata per la difesa abitativa e il tiro al bersaglio. Grazie al suo design, questa cartuccia offre un eccezionale potere d'arresto, pur causando gravi effetti negativi sul bersaglio dopo l'impatto a scapito della capacità di penetrazione, oltre ad avere una velocità iniziale considerevolmente inferiore rispetto ad altre cartucce dello stesso calibro.","Un cartucho Parabellum QuakeMaker de 9x19 mm con una bala de punta hueca de 11,9 gramos, fabricado íntegramente en plomo en una vaina ligera de acero con base de aluminio anodizado rojo; diseñado para defensa personal y prácticas de tiro. Gracias a su diseño, este cartucho ofrece una potencia de frenado excepcional, además de causar graves efectos adversos en el objetivo tras el impacto, a costa de su capacidad de penetración. Además, tiene una velocidad inicial considerablemente menor en comparación con otros cartuchos del mismo calibre.","Cartouche QuakeMaker Parabellum 9x19 mm avec balle à pointe creuse de 11,9 grammes, entièrement en plomb, dans un étui léger en acier avec culot en aluminium anodisé rouge ; destinée à la défense du domicile et au tir sportif. De par sa conception, cette cartouche offre un pouvoir d'arrêt exceptionnel, mais aussi de graves conséquences sur la cible après l'impact, au détriment de sa capacité de pénétration. De plus, sa vitesse initiale est considérablement inférieure à celle des autres cartouches du même calibre.",9x19毫米帕拉贝鲁姆QuakeMaker子弹，采用11.9克空尖弹头，完全由铅制成，装在轻质钢制弹壳和红色阳极氧化铝弹底中；用于家庭防卫和射击练习。由于其独特的设计，该子弹具有出色的制动力，但击中目标后会造成严重的不良后果，但穿透力会有所降低，并且其初速相对于同口径的其他子弹而言也相当低。,9x19mmパラベラム・クエイクメーカー弾は、11.9グラムのホローポイント弾頭を内蔵し、軽量なスチールケースに赤色アルマイト処理されたアルミニウム製のベースが付属しています。家庭防衛や射撃練習に最適です。この弾薬は設計上、優れたストッピングパワーを発揮するとともに、貫通力を犠牲にして着弾後に標的に深刻なダメージを与えます。また、同口径の他の弾薬と比較して、銃口速度がかなり低くなっています。,"Um cartucho 9x19mm Parabellum QuakeMaker com uma bala de ponta oca de 11,9 gramas, feito inteiramente de chumbo, em um estojo leve de aço com base de alumínio anodizado vermelho; destinado à defesa doméstica e prática de tiro ao alvo. Devido ao seu design, este cartucho proporciona um excelente poder de parada, além de causar graves efeitos adversos no alvo após o impacto, em detrimento da capacidade de penetração, além de ter uma velocidade de saída consideravelmente menor em relação a outros cartuchos do mesmo calibre.",9x19毫米帕拉贝鲁姆QuakeMaker子弹，采用11.9克空尖弹头，完全由铅制成，装在轻质钢制弹壳和红色阳极氧化铝弹底中；用于家庭防卫和射击练习。由于其独特的设计，该子弹具有出色的制动力，但击中目标后会造成严重的不良后果，但穿透力会有所降低，并且其初速相对于同口径的其他子弹而言也相当低。,
STR_kr_weapons_ammo_9x19_rip,9x19mm RIP,9x19mm RIP,RIP 9 x 19 mm,9 x 19 mm RIP,9x19мм RIP,9x19mm RIP,9x19mm RIP,9x19mm RIP,RIP de 9 x 19 mm,9x19mm RIP,9x19mm RIP,9x19mm RIP,RIP 9x19mm,9x19mm RIP,
STR_kr_weapons_ammo_9x19_rip_dsc,"A 9x19mm Parabellum RIP (Radically Invasive Projectile), is a cartridge with a 6 gram frangible bullet designed to produce multiple wound channels to incapacitate assailants quickly. In a departure from conventional hollow-point design, the R.I.P. round features 8 machined lead-free copper petals or trocars, designed to fragment quickly and move in multiple directions, thus providing a superior stopping power effect of its caliber, in addition to being able to inflict substantial adverse effects on the target after impact.","A 9x19mm Parabellum RIP (Radically Invasive Projectile), is a cartridge with a 6 gram frangible bullet designed to produce multiple wound channels to incapacitate assailants quickly. In a departure from conventional hollow-point design, the R.I.P. round features 8 machined lead-free copper petals or trocars, designed to fragment quickly and move in multiple directions, thus providing a superior stopping power effect of its caliber, in addition to being able to inflict substantial adverse effects on the target after impact.","Parabellum RIP 9x19mm (Radically Invasive Projectile) je náboj s 6 gramovou křehkou střelou navrženou tak, aby vytvořila několik kanálů ran, které útočníky rychle zneškodní. Na rozdíl od konvenčního designu s dutou špičkou, R.I.P. round obsahuje 8 opracovaných bezolovnatých měděných plátků nebo trokarů, navržených tak, aby se rychle rozlomily a pohybovaly se v několika směrech, čímž poskytují vynikající brzdný účinek své ráže, kromě toho, že jsou schopny způsobit značné nepříznivé účinky na cíl po dopadu.","Das 9 x 19 mm Parabellum RIP (Radically Invasive Projectile) ist eine Patrone mit einem 6 Gramm schweren, zerbrechlichen Geschoss, das mehrere Schusskanäle erzeugt und Angreifer schnell außer Gefecht setzt. Im Gegensatz zur herkömmlichen Hohlspitzkonstruktion verfügt das RIP über acht bearbeitete, bleifreie Kupferblätter oder Trokare, die schnell fragmentieren und sich in mehrere Richtungen bewegen. Dadurch bietet es eine für sein Kaliber überlegene Mannstoppwirkung und kann dem Ziel nach dem Aufprall erhebliche Schäden zufügen.","Патрон 9x19мм Парабеллум RIP (Radically Invasive Projectile) с хрупкой пулей массой 6 грамм, предназначенный для нанесения огромных повреждений мягким тканям. В отличие от традиционной конструкции экспансивной пули, патрон R.I.P. имеет 8 обработанных на станке бессвинцовых медных лепестков, предназначенных для быстрого фрагментирования и вхождения в цель в нескольких направлениях, обеспечивая таким образом превосходное останавливающее действие.","9x19mm Parabellum RIP (Radically Invasive Projectile) to nabój z 6-gramowym pociskiem kruchym, zaprojektowanym tak, aby wytwarzać wiele kanałów rannych, aby szybko obezwładnić napastników. W odróżnieniu od konwencjonalnej konstrukcji hollow-point, nabój R.I.P. ma 8 obrabianych maszynowo płatków miedzianych bezołowiowych lub trokarów, zaprojektowanych tak, aby szybko się rozpadały i poruszały się w wielu kierunkach, zapewniając w ten sposób lepszy efekt zatrzymania swojego kalibru, a także będąc w stanie zadać znaczne negatywne skutki celowi po uderzeniu.","A 9x19 mm-es Parabellum RIP (Radically Invasive Projectile) egy 6 grammos törékeny lövedékkel ellátott töltény, amelyet arra terveztek, hogy több sebcsatornát hozzon létre a támadók gyors harcképtelenné tétele érdekében. A hagyományos üreges hegyes kialakítástól eltérően az R.I.P. A körben 8 megmunkált, ólommentes rézszirom vagy trokár található, melyeket úgy terveztek, hogy gyorsan törjenek és több irányba mozogjanak, így a kaliberének megfelelő kiváló fékezőhatást biztosítanak, amellett, hogy az ütközés után jelentős káros hatásokat képesek kifejteni a célpontra.","Un proiettile RIP (Radically Invasive Projectile) 9x19 mm Parabellum è una cartuccia con un proiettile frangibile da 6 grammi progettato per produrre molteplici canali di ferita per inabilitare rapidamente gli aggressori. Diversamente dal design convenzionale a punta cava, il proiettile R.I.P. presenta 8 petali o trocar in rame senza piombo lavorati a macchina, progettati per frammentarsi rapidamente e muoversi in più direzioni, fornendo così un potere d'arresto superiore al suo calibro, oltre a essere in grado di infliggere notevoli effetti avversi al bersaglio dopo l'impatto.","Un cartucho Parabellum RIP (Proyectil Radicalmente Invasivo) de 9x19 mm es un cartucho con una bala frangible de 6 gramos, diseñado para producir múltiples canales de herida e incapacitar rápidamente a los agresores. A diferencia del diseño convencional de punta hueca, el cartucho R.I.P. cuenta con 8 pétalos o trócares de cobre sin plomo mecanizados, diseñados para fragmentarse rápidamente y moverse en múltiples direcciones, lo que proporciona una potencia de frenado superior a la de su calibre, además de infligir importantes efectos adversos al objetivo tras el impacto.","Un projectile radicalement invasif (RIP) Parabellum 9x19 mm est une cartouche contenant une balle frangible de 6 grammes, conçue pour créer de multiples sillons et neutraliser rapidement les assaillants. Contrairement aux balles à pointe creuse conventionnelles, la cartouche R.I.P. est dotée de huit pétales ou trocarts usinés en cuivre sans plomb, conçus pour se fragmenter rapidement et se déplacer dans plusieurs directions, offrant ainsi un pouvoir d'arrêt supérieur à celui de son calibre, tout en infligeant des effets néfastes importants à la cible après l'impact.",9x19毫米鲁格弹（RIP，激进侵入式弹丸）是一种6克易碎弹头的弹药，旨在制造多个伤口通道，迅速使袭击者丧失行动能力。与传统的空尖弹设计不同，RIP弹头采用8个经过机械加工的无铅铜瓣或套管针，旨在快速破片并向多个方向移动，从而提供同等口径的卓越制动力，并在撞击后对目标造成显著的不利影响。,9x19mmパラベラムRIP（Radically Invasive Projectile）は、6グラムの破砕性弾頭を搭載した弾薬で、複数の創傷経路を形成し、攻撃者を迅速に無力化するよう設計されています。従来のホローポイント弾とは異なり、R.I.P.弾は機械加工された鉛フリー銅の花弁、またはトロカールを8つ備えており、素早く破砕して多方向に移動するように設計されています。これにより、同口径としては優れた制止力を発揮するだけでなく、着弾後に標的に重大な悪影響を及ぼします。,"O cartucho Parabellum RIP (Projétil Radicalmente Invasivo) 9x19mm é um cartucho com uma bala frangível de 6 gramas, projetado para produzir múltiplos canais de perfuração e incapacitar rapidamente os agressores. Diferentemente do design convencional de ponta oca, o cartucho RIP possui 8 pétalas ou trocartes de cobre sem chumbo usinados, projetados para se fragmentar rapidamente e se mover em múltiplas direções, proporcionando assim um poder de parada superior ao de seu calibre, além de ser capaz de infligir efeitos adversos substanciais no alvo após o impacto.",9x19毫米鲁格弹（RIP，激进侵入式弹丸）是一种6克易碎弹头的弹药，旨在制造多个伤口通道，迅速使袭击者丧失行动能力。与传统的空尖弹设计不同，RIP弹头采用8个经过机械加工的无铅铜瓣或套管针，旨在快速破片并向多个方向移动，从而提供同等口径的卓越制动力，并在撞击后对目标造成显著的不利影响。,
STR_kr_weapons_ammo_9x18_ppt_gz,9x18mm PM PPT gzh,9x18mm PM PPT gzh,9x18mm PM PPT gzh,9x18mm PM PPT gzh,9x18мм ПМ ППТ гж,9x18mm PM PPT gzh,9x18mm PM PPT gzh,9x18mm PM PPT gzh,9x18 mm PM PPT gzh,9x18mm PM PPT gzh,9x18mm PM PPT gzh,9x18mm PM PPT gzh,9x18mm PM PPT gzh,9x18mm PM PPT gzh,
