Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_weapons_rifles_ax50,Accuracy International AX50,Accuracy International AX50,Přesnost mezinárodní AX50,Genauigkeit International AX50,Accuracy International AX50,Dokładność Międzynarodowa AX50,Pontosság a Nemzetközi AX50,Accuratezza International AX50,Precisión internacional ax50,Précision internationale AX50,准确性国际AX50,精度International AX50,Precisão International AX50,准确性国际AX50
STR_weapons_rifles_ax50_dsc,"The Accuracy International AX50 (AI AX50) is a British large caliber sniper rifle developed by Accuracy International. Designed to destroy and disable lightly armored vehicles (armored personnel carriers, infantry fighting vehicles, infantry fighting vehicles, etc.), combat helicopters, combat robots, radar stations (radar stations) of the enemy located at long and extra long distances (up to 2400 meters).","The Accuracy International AX50 (AI AX50) is a British large caliber sniper rifle developed by Accuracy International. Designed to destroy and disable lightly armored vehicles (armored personnel carriers, infantry fighting vehicles, infantry fighting vehicles, etc.), combat helicopters, combat robots, radar stations (radar stations) of the enemy located at long and extra long distances (up to 2400 meters).","Mezinárodní AX50 AX50 (AI AX50) je britská odstřelovací puška s velkým ránem vyvinutá společností Ascacy International. Navrženo tak, aby zničilo a deaktivovalo lehce obrněná vozidla (obrněná dopravci, pěchota bojová vozidla, pěchotní bojová vozidla atd.), Bojové vrtulníky, bojové roboty, radarové stanice (radarové stanice) nepřítele nacházejícího se na dlouhé a extra dlouhé vzdálenosti (až do to 2400 metrů).","Das Accuracy International AX50 (AI AX50) ist ein britisches, großer Scharfschützengewehr, das von Accuracy International entwickelt wurde. Entwickelt, um leicht gepanzerte Fahrzeuge (gepanzerte Personalträger, Infanterie -Kampffahrzeuge, Infanterie -Kampffahrzeuge usw.), Kampfhubschrauber, Kampfroboter, Radarstationen (Radarstationen) des Feindes in langen und zusätzlichen Strecken (bis zu 2400 Meter).","Accuracy International AX50 (AI AX50) - британская крупнокалиберная снайперская винтовка, разработанная в компании Accuracy International. Предназначена для уничтожения и выведения из строя легкобронированной техники (БТР, БМД, БМП и т.д.), боевых вертолетов, боевых роботов, РЛС (радиолокационных станций) противника, находящихся на длинных и сверхдлинных дистанциях (до 2400 метров).","Dokładność Międzynarodowa AX50 (AI AX50) to brytyjski karabin snajperski z dużym kalibrem opracowany przez Accuracy International. Zaprojektowany do niszczenia i wyłączania lekko opancerzonych pojazdów (opancerzeni nośnicy, pojazdy walczące piechota, pojazdy bojowe piechoty itp.), Helikoptery bojowe, roboty bojowe, stacje radarowe (stacje radarowe) wroga znajdujące 2400 metrów).","A Pontosság Pontosság Pontos International által kifejlesztett brit nagy kaliberű mesterlövészpuska. Az enyhén páncélozott járművek (páncélozott személyi fuvarozók, gyalogos harci járművek, gyalogos harci járművek stb.) Elpusztítására és letiltására tervezték, harci helikopterek, harci robotok, radarállomások (radarállomások), amelyek hosszú és extra távolságra helyezkednek el (egész 2400 méter).","La precisione internazionale AX50 (AI AX50) è un fucile da cecchino di grande calibro britannico sviluppato da Accuracy International. Progettato per distruggere e disabilitare i veicoli leggermente corazzati (vettori di personale corazzato, veicoli da combattimento di fanteria, veicoli da combattimento di fanteria, ecc.), Elicotteri da combattimento, robot da combattimento, stazioni radar (stazioni radar) del nemico situato a lunghe e più lunghe distanze (fino a lunghe lunghe distanze (fino al 2400 metri).","La precisión Internacional Ax50 (AI AX50) es un rifle de francotirador de gran calibre británico desarrollado por Accuracy International. Diseñado para destruir y deshabilitar vehículos ligeramente blindados (transportistas de personal blindado, vehículos de lucha contra la infantería, vehículos de lucha de infantería, etc.), helicópteros de combate, robots de combate, estaciones de radar (estaciones de radar) del enemigo ubicado a largas y largas distancias (hasta 2400 metros).","La précision International AX50 (AI AX50) est un fusil de tireur d'élite de grand calibre britannique développé par la précision internationale. Conçu pour détruire et désactiver les véhicules légèrement blindés (véhicules blindés de personnel, véhicules de combat d'infanterie, véhicules de combat d'infanterie, etc.), des hélicoptères de combat, des robots de combat, des stations radar (stations radar) de l'ennemi située à longues distances longues et extra-longues (jusqu'à 2400 mètres).",International AX50（AI AX50）是由International制定的英国大型狙击步枪。旨在销毁和禁用轻便装甲的车辆（装甲人员载体，步兵战车，步兵战车等），战斗直升机，战斗机器人，敌人的雷达站（雷达站），位于长长远处2400米）。,精度International AX50（AI AX50）は、精度Internationalが開発した英国の大口径スナイパーライフルです。軽く装甲車両（装甲職人、歩兵戦闘車両、歩兵戦闘車両など）、戦闘ヘリコプター、戦闘ロボット、レーダーステーション（レーダーステーション）の長い距離にあるレーダーステーション（レーダーステーション）を破壊して無効にするように設計されています（ 2400メートル）。,"O AX50 International AX50 (AI AX50) é um rifle britânico de atirador de excesso de calibre desenvolvido pela Accuracy International. Projetado para destruir e desativar veículos levemente blindados (portadores de pessoal blindado, veículos de combate a infantaria, veículos de combate de infantaria etc.), helicópteros de combate, robôs de combate, estações de radar (estações de radar) do inimigo localizado a longas e longas distâncias (até até 2400 metros).",International AX50（AI AX50）是由International制定的英国大型狙击步枪。旨在销毁和禁用轻便装甲的车辆（装甲人员载体，步兵战车，步兵战车等），战斗直升机，战斗机器人，敌人的雷达站（雷达站），位于长长远处2400米）。
STR_weapons_rifles_dvl_m1,DVL-10 M1 Saboteur,DVL-10 M1 Saboteur,DVL-10 M1 Saboteur,DVL-10 M1 Saboteur,DVL-10 M1 Диверсант,DVL-10 M1 Saboteur,DVL-10 M1 Saboteur,Saboteur DVL-10 M1,Dvl-10 m1 saboteador,Saboteur DVL-10 M1,DVL-10 M1 saboteur,DVL-10 M1サボテール,Saboteur DVL-10 M1,DVL-10 M1 saboteur
STR_weapons_rifles_dvl_m1_dsc,"DVL-10 M1 Saboteur is a modular, multi-caliber rifle with the original SDF system. This system determines the features of the model's application - wherever increased stealth is needed, but also the accuracy inherent in Lobaev Arms rifles. The saboteur is designed for tasks that require high accuracy and avoidance of excessive noise.","DVL-10 M1 Saboteur is a modular, multi-caliber rifle with the original SDF system. This system determines the features of the model's application - wherever increased stealth is needed, but also the accuracy inherent in Lobaev Arms rifles. The saboteur is designed for tasks that require high accuracy and avoidance of excessive noise.","DVL-10 M1 Saboteur je modulární puška s více kalibry s původním systémem SDF. Tento systém určuje vlastnosti aplikace modelu - kdekoli je zapotřebí zvýšené utajení, ale také přesnost vlastní lobaevovým zbraním. Saboteur je určen pro úkoly, které vyžadují vysokou přesnost a vyhýbání se nadměrnému hluku.","DVL-10 M1 Saboteur ist ein modulares Mehrkaliber-Gewehr mit dem ursprünglichen SDF-System. Dieses System bestimmt die Merkmale der Anwendung des Modells - wo immer erhöhte Stealth erforderlich ist, aber auch die Genauigkeit, die Lobaev -Waffengewehren inhärent ist. Der Saboteur ist für Aufgaben ausgelegt, die eine hohe Genauigkeit und Vermeidung von übermäßigem Geräusch erfordern.","DVL-10 М1 Диверсант – модульная, мультикалиберная винтовка с оригинальной системой СДФ. Данная система определяет особенности применения модели - везде, где нужна повышенная скрытность, но и присущая винтовкам Lobaev Arms точность. Диверсант разработан для задач, требующих высокой точности и избегания избыточного шума. ","DVL-10 M1 Saboteur to modułowy karabin wielokalałkowy z oryginalnym systemem SDF. System ten określa cechy aplikacji modelu - wszędzie tam, gdzie potrzebna jest zwiększona ukrycie, ale także dokładność związana z karabinami zbrojeniowymi Lobbaev. Sabotażysta jest przeznaczony do zadań wymagających wysokiej dokładności i unikania nadmiernego hałasu.","A DVL-10 M1 Saboteur egy moduláris, multi-kaliberű puska az eredeti SDF rendszerrel. Ez a rendszer meghatározza a modell alkalmazásának jellemzőit - ahol megnövekedett lopakodásra van szükség, de a lobaev -puskákban rejlő pontosságot is. A Saboteur olyan feladatokhoz készült, amelyek nagy pontosságot igényelnek és elkerülik a túlzott zajt.","Il saboteur DVL-10 M1 è un fucile modulare multi-calibro con il sistema SDF originale. Questo sistema determina le caratteristiche dell'applicazione del modello, ovunque sia necessaria una maggiore furtività, ma anche l'accuratezza inerente ai fucili di armi di Lobaev. Il saboteur è progettato per compiti che richiedono un'elevata precisione ed evitamento di rumore eccessivo.","DVL-10 M1 Saboteur es un rifle modular de múltiples calibre con el sistema SDF original. Este sistema determina las características de la aplicación del modelo, donde sea necesario aumentar el sigilo, pero también la precisión inherente a los rifles de Lobaev Arms. El saboteador está diseñado para tareas que requieren alta precisión y evitación de ruido excesivo.","Le saboteur DVL-10 M1 est un fusil modulaire multi-calibre avec le système SDF d'origine. Ce système détermine les caractéristiques de l'application du modèle - partout où une augmentation de la furtivité est nécessaire, mais également la précision inhérente aux fusils à bras lobaev. Le saboteur est conçu pour les tâches qui nécessitent une précision élevée et une évitement de bruit excessif.",DVL-10 M1 Saboteur是具有原始SDF系统的模块化的多口径步枪。该系统确定了模型应用程序的功能 - 无论需要增加隐身，以及Lobaev Arms步枪固有的准确性。 Saboteur专为需要高精度和避免过度噪音的任务而设计。,DVL-10 M1サボテールは、元のSDFシステムを備えたモジュール式のマルチオリバーライフルです。このシステムは、モデルのアプリケーションの機能を決定します - ステルスが必要な場合はどこでも、Lobaev Armsライフルに固有の精度も決定されます。妨害者は、高精度と過度のノイズの回避を必要とするタスク用に設計されています。,"O Saboteur DVL-10 M1 é um rifle modular e multi-calibre com o sistema SDF original. Este sistema determina as características do aplicativo do modelo - onde quer que seja necessário aumentar a furtividade, mas também a precisão inerente aos rifles de armas Lobaev. O saboteur é projetado para tarefas que requerem alta precisão e evitar o ruído excessivo.",DVL-10 M1 Saboteur是具有原始SDF系统的模块化的多口径步枪。该系统确定了模型应用程序的功能 - 无论需要增加隐身，以及Lobaev Arms步枪固有的准确性。 Saboteur专为需要高精度和避免过度噪音的任务而设计。
STR_weapons_rifles_dvl_m2,DVL-10 М2 Urbana,DVL-10 М2 Urbana,DVL-10 м2 urbana,DVL-10 м2 Urbana,DVL-10 М2 Урбана,DVL-10 м2 Urbana,DVL-10 м2 urbana,Dvl-10 м2 urbana,Dvl-10 м2 urbana,Dvl-10 м2 Urbana,dvl-10月2 urbana,DVL-10м2Urbana,DVL-10 м2 Urbana,dvl-10月2 urbana
STR_weapons_rifles_dvl_m2_dsc,"DVL-10 M2 Urbana is a classic, modular and multi-caliber rifle for a wide range of tasks. With a decent range and accuracy, the DVL-10 M2 Urbana is great for both sports and hunting.","DVL-10 M2 Urbana is a classic, modular and multi-caliber rifle for a wide range of tasks. With a decent range and accuracy, the DVL-10 M2 Urbana is great for both sports and hunting.","Urbana DVL-10 M2 je klasická, modulární a více kaližní puška pro širokou škálu úkolů. S slušným rozsahem a přesností je DVL-10 M2 Urbana skvělá jak pro sport, tak pro lov.","DVL-10 M2 Urbana ist ein klassisches, modulares und multikaliberes Gewehr für eine Vielzahl von Aufgaben. Mit einer anständigen Reichweite und Genauigkeit ist die DVL-10 M2 Urbana sowohl für Sport als auch für die Jagd hervorragend.","DVL-10 М2 Урбана - классическая, модульная и мультикалиберная винтовка для широкого спектра задач. Имея достойную дальность и кучность, DVL-10 М2 Урбана отлично подходит как для спортивных соревнований, так и для охоты.","DVL-10 M2 Urbana to klasyczny, modułowy i wielokalałkowy karabin dla szerokiej gamy zadań. Z przyzwoitym zasięgiem i dokładnością DVL-10 M2 Urbana jest świetna zarówno do sportu, jak i polowania.","A DVL-10 M2 Urbana egy klasszikus, moduláris és multi-kaliberű puska a feladatok széles skálájához. Tisztességes tartományban és pontossággal a DVL-10 M2 Urbana kiválóan alkalmas mind a sport, mind a vadászat számára.","DVL-10 M2 Urbana è un fucile classico, modulare e multi-calibro per una vasta gamma di attività. Con una gamma e una precisione decenti, l'Urbana DVL-10 M2 è ottimo sia per lo sport che per la caccia.","DVL-10 M2 Urbana es un rifle clásico, modular y de múltiples calibre para una amplia gama de tareas. Con un rango y precisión decentes, el DVL-10 M2 Urbana es excelente tanto para los deportes como para la caza.","DVL-10 M2 Urbana est un fusil classique, modulaire et multi-calibre pour une large gamme de tâches. Avec une portée et une précision décentes, le DVL-10 M2 Urbana est idéal pour les sports et la chasse.",DVL-10 M2 Urbana是一款经典，模块化和多口径步枪，适用于各种任务。 DVL-10 M2 Urbana具有不错的范围和准确性，非常适合运动和狩猎。,DVL-10 M2 Urbanaは、幅広いタスクを対象としたクラシック、モジュール式、マルチオリバーライフルです。まともな範囲と精度で、DVL-10 M2 Urbanaはスポーツと狩猟の両方に最適です。,"O DVL-10 M2 Urbana é um rifle clássico, modular e de vários calibres para uma ampla gama de tarefas. Com um alcance decente e precisão, o Urbana DVL-10 M2 é ótimo para esportes e caça.",DVL-10 M2 Urbana是一款经典，模块化和多口径步枪，适用于各种任务。 DVL-10 M2 Urbana具有不错的范围和准确性，非常适合运动和狩猎。
STR_weapons_rifles_m200,CheyTac M200 «Intervention»,CheyTac M200 «Intervention»,Cheytac M200 «Intervence»,Cheytac M200 «Intervention»,CheyTac M200 «Intervention»,Cheytac M200 «Interwencja»,Cheytac M200 «Intervenció»,Cheytac M200 «Intervento»,Cheytac M200 «Intervención»,Cheytac M200 «Intervention»,cheytac M200«干预»,Cheytac M200«介入»,Cheytac M200 «Intervenção»,cheytac M200«干预»
STR_weapons_rifles_m200_dsc,"The CheyTac LRRS (Long Range Rifle System) long-range sniper weapon system was specifically designed to engage enemy personnel. The CheyTac Intervention M200 rifle is a bolt action magazine weapon. In general, the design of the M200 rifle is based on the design of the Windrunner M96 .50 caliber rifle, created by the American company EDM Arms. Barrel - floating type. A muzzle brake or an OPSINC silencer can be attached to the muzzle of the barrel. The rifle is not equipped with open sights.","The CheyTac LRRS (Long Range Rifle System) long-range sniper weapon system was specifically designed to engage enemy personnel. The CheyTac Intervention M200 rifle is a bolt action magazine weapon. In general, the design of the M200 rifle is based on the design of the Windrunner M96 .50 caliber rifle, created by the American company EDM Arms. Barrel - floating type. A muzzle brake or an OPSINC silencer can be attached to the muzzle of the barrel. The rifle is not equipped with open sights.","Cheytac LRRS (dlouhé pušky s puškou) s dlouhým rozsahem odstřelovací zbraně byl speciálně navržen tak, aby zapojil nepřátelský personál. Rifle Cheytac Intervention M200 je zbraň časopisu Bolt Action. Obecně je design pušky M200 založen na návrhu pušky ráže Windrunner M96 .50, vytvořenou americkou společností EDM Arms. Barrel - plovoucí typ. K čenichu hlavně může být připevněna čenichová brzda nebo opsinc tlumič. Puška není vybavena otevřenými památkami.",Das Langstrecken-Scharfschützen-Waffensystem von Cheytac LRRS (Langstrecken-Gewehrsystem) wurde speziell für die Einbeziehung feindlicher Personal entwickelt. Das Cheytac -Intervention M200 -Gewehr ist eine Waffe des Bolt Action Magazine. Im Allgemeinen basiert das Design des M200 -Gewehrs auf dem Design des von der amerikanischen Firma EDM Arms erstellten Gewehrs M96 .50 Kaliber. Fass - schwimmender Typ. Eine Mündungsbremse oder ein Opsinc -Schalldämpfer kann an der Mündung des Laufs angebracht werden. Das Gewehr ist nicht mit offenen Sehenswürdigkeiten ausgestattet.,"Система дальнобойного снайперского оружия CheyTac LRRS (Long Range Rifle System) была специально разработана для поражения живой силы противника. Винтовка CheyTac Intervention M200 — магазинное оружие с продольно-скользящим поворотным затвором. В целом, конструкция винтовки М200 базируется на конструкции винтовки Windrunner M96 .50 калибра, созданной американской фирмой EDM Arms. Ствол — плавающего типа. На дульную часть ствола может крепиться дульный тормоз либо глушитель OPSINC. Открытыми прицельными приспособлениями винтовка не комплектуется.","System broni snajperskiej Cheytac LRRS (system karabinów dalekiego zasięgu) został specjalnie zaprojektowany w celu zaangażowania personelu wroga. Karabin M200 Cheytac Intervention to broń magazynu akcji Bolt. Ogólnie rzecz biorąc, konstrukcja karabinu M200 opiera się na projekcie karabinu kalibru Windrunner M96 .50, stworzonego przez amerykańską firmę EDM Arms. Kolefa - typ pływający. Do lufy lufy można przymocować hamulec lufy lub tłumik opsinc. Karabin nie jest wyposażony w otwarte zabytki.","A Cheytac LRRS (hosszú távú puskarendszer) hosszú távú mesterlövészfegyverrendszert kifejezetten az ellenséges személyzet bevonására tervezték. A Cheytac Intervention M200 puska egy Bolt Action magazin fegyver. Általánosságban az M200 puska kialakítása a Windrunner M96 .50 kaliberű puska tervezésén alapul, amelyet az amerikai Edm Arms készített. Hordó - úszó típusú. Egy pofát vagy egy opsinc hangtompítót lehet rögzíteni a hordó pofájához. A puska nincs felszerelve nyitott látnivalókkal.","Il sistema di armi da cecchino a lungo raggio di Cheytac LRRS (Sistema di fucili a lungo raggio) è stato specificamente progettato per coinvolgere il personale nemico. Il fucile di intervento M200 Cheytac è un'arma da rivista Bolt Action. In generale, il design del fucile M200 si basa sul design del fucile calibro Windrunner M96 .50, creato dalla società americana Edm Arms. Barrel - tipo galleggiante. Un freno di museruola o un silenziatore opsc possono essere attaccati al muso della canna. Il fucile non è dotato di mirini aperti.","El sistema de arma de francotirador de largo alcance Cheytac LRRS (sistema de rifle de largo alcance) fue diseñado específicamente para involucrar al personal enemigo. El rifle Cheytac Intervention M200 es un arma de la revista Bolt Action. En general, el diseño del rifle M200 se basa en el diseño del rifle de calibre Windrunner M96 .50, creado por la compañía estadounidense EDM Arms. Carril - Tipo flotante. Se puede unir un freno de hocico o un silenciador opsinc al hocico del cañón. El rifle no está equipado con miras abiertas.","Le système de tireurs d'élite à longue portée du Cheytac LRRS (système de fusil à longue portée) a été spécifiquement conçu pour engager le personnel ennemi. Le fusil M200 de l'intervention Cheytac est une arme de magazine Bolt Action. En général, la conception du fusil M200 est basée sur la conception du fusil de calibre Windrunner M96 .50, créé par la société américaine EDM Arms. Barrel - Type flottant. Un frein de bouche ou un silencieux d'Opsinc peut être fixé au museau du canon. Le fusil n'est pas équipé de viseurs ouverts.",Cheytac LRR（远程步枪系统）远程狙击武器系统是专门设计用于吸引敌人人员的。 Cheytac干预M200步枪是螺栓动作杂志武器。通常，M200步枪的设计基于由美国公司EDM Arms创建的Windrunner M96 .50口径步枪的设计。桶 - 浮动类型。枪口制动器或OPSINC消音器可以连接到枪管的枪口上。步枪不配备敞开的景点。,Cheytac LRRS（長距離ライフルシステム）長距離スナイパー武器システムは、敵職員を雇うように特別に設計されています。 Cheytac Intervention M200ライフルは、ボルトアクションマガジンの武器です。一般に、M200ライフルの設計は、アメリカの会社Edm Armsによって作成されたWindrunner M96 .50口径ライフルの設計に基づいています。バレル - フローティングタイプ。銃口のブレーキまたはOpsINCサイレンサーを樽の銃口に取り付けることができます。ライフルには開いた光景が装備されていません。,"O sistema de armas de elite de longo alcance Cheytac LRRS (Sistema de Rifle de longo alcance) foi projetado especificamente para envolver o pessoal do inimigo. O rifle M200 Cheytac Intervenção é uma arma de revista de ação de Bolt. Em geral, o design do rifle M200 é baseado no design do rifle calibre Windrunner M96 .50, criado pela empresa americana Edm Arms. Barril - Tipo flutuante. Um freio de focinho ou um silenciador de opsinc podem ser presos ao focinho do barril. O rifle não está equipado com vistas abertas.",Cheytac LRR（远程步枪系统）远程狙击武器系统是专门设计用于吸引敌人人员的。 Cheytac干预M200步枪是螺栓动作杂志武器。通常，M200步枪的设计基于由美国公司EDM Arms创建的Windrunner M96 .50口径步枪的设计。桶 - 浮动类型。枪口制动器或OPSINC消音器可以连接到枪管的枪口上。步枪不配备敞开的景点。
STR_weapons_rifles_noreen_408,Noreen ULR 408,Noreen ULR 408,Noreen ULR 408,Noreen ULR 408,Noreen ULR 408,Noreen Ulr 408,Noreen Ulr 408,Noreen ULR 408,Noreen Ulr 408,Noreen ulr 408,Noreen ULR 408,Noreen ULR 408,Noreen Ulr 408,Noreen ULR 408
STR_weapons_rifles_noreen_408_dsc,"This single shot bolt action was designed with simplicity in mind. The single shot shell holder bolt allows for easy and quick reload, and maintains the simplistic nature of the rifle. The ULR was designed to do one thing; fire large caliber rounds further than most people are capable of. The stock springs and Noreen Design muzzle brake help to drastically relieve shooter stress, and easily make this rifle an all-day shooter at the range.","This single shot bolt action was designed with simplicity in mind. The single shot shell holder bolt allows for easy and quick reload, and maintains the simplistic nature of the rifle. The ULR was designed to do one thing; fire large caliber rounds further than most people are capable of. The stock springs and Noreen Design muzzle brake help to drastically relieve shooter stress, and easily make this rifle an all-day shooter at the range.","Tato akce s jediným výstřelem byla navržena s ohledem na jednoduchost. Jednotlivý šroub skořepiny umožňuje snadné a rychlé načtení a udržuje zjednodušující povahu pušky. ULR byl navržen tak, aby dělal jednu věc; Oheň velkých kol ráže dále než většina lidí je schopna. Stock Springs a Noreen Design The Muzzle Brake pomáhají drasticky zmírnit stres střelce a snadno učinit tuto pušku celodenním střelcem v dosahu.","Diese Einzel -Schuss -Bolzenaktion wurde im Hinblick auf die Einfachheit entworfen. Der Einzel -Schussschalenhalter -Bolzen ermöglicht ein einfaches und schnelles Nachladen und behält die simpele Natur des Gewehrs bei. Die ULR wurde entwickelt, um eine Sache zu tun; Feuer große Kaliberrunden weiter als die meisten Menschen können in der Lage sind. Die Bremsbremsbremse für die Stammfedern und die Noreen-Design helfen dazu, den Schützenspannung drastisch zu lindern und dieses Gewehr problemlos zu einem ganztägigen Schützen im Bereich zu machen.","Эта однозарядная винтовка была разработана с учетом простоты конструкции. Однозарядный затвор позволяет легко и быстро перезаряжать винтовку и сохраняет ее простоту. ULR была разработана для одной цели - стрелять крупнокалиберными патронами дальше, чем многие люди способны. Прикладные пружины и дульный тормоз Noreen Design помогают значительно снизить нагрузку на стрелка и делают эту винтовку удобной для стрельбы в течение всего дня на стрельбище.","Ta akcja z pojedynczym strzałem została zaprojektowana z myślą o prostocie. Śruba uchwytu po jednym strzale pozwala na łatwe i szybkie przeładowanie i utrzymuje uproszczony charakter karabinu. ULR został zaprojektowany do zrobienia jednej rzeczy; Strzelaj duży kaliber, niż większość ludzi jest zdolna. Stock Springs i Noreen Design Hamule z lufą pomagają drastycznie złagodzić stres strzelanki i łatwo sprawić, że ten karabin jest strzelcem całodniowym na zasięgu.","Ezt az egyetlen lövésű boltos akciót egyszerűség szem előtt tartásával tervezték. Az egylövésű héj tartó csavarja lehetővé teszi a könnyű és gyors újratöltést, és fenntartja a puska egyszerűsített jellegét. Az ULR -t úgy tervezték, hogy egy dolgot megtegyen; Tűz nagy kaliberű kerek, mint a legtöbb ember képes. A Stock Springs és a Noreen Design pofa féke segít a lövöldözős stresszt drasztikusan enyhíteni, és könnyedén ezt a puskát egész napos lövöldözőssé teszi.",Questa azione a bullone singolo è stata progettata pensando alla semplicità. Il bullone del supporto a guscio a tiro singolo consente una ricarica facile e rapida e mantiene la natura semplicistica del fucile. L'ULR è stato progettato per fare una cosa; sparare a grandi round di calibro oltre la maggior parte delle persone sono capaci. Il freno di museruola Design di serie e Noreen aiutano a alleviare drasticamente lo stress del tiratore e rendere facilmente questo fucile uno sparatutto per tutto il giorno nella gamma.,"Esta acción de perno de un solo disparo fue diseñada con simplicidad en mente. El perno del soporte de caparazón de disparo único permite una recarga fácil y rápida, y mantiene la naturaleza simplista del rifle. El ULR fue diseñado para hacer una cosa; Dispare las rondas de calibre grande más de lo que la mayoría de las personas son capaces. Los resortes de stock y el freno de boca de diseño de Noreen ayudan a aliviar drásticamente el estrés del tirador, y hacer de este rifle un tirador durante todo el día en el rango.",Cette action à boulon unique a été conçue avec une simplicité à l'esprit. Le boulon du support de coque à une seule prise permet un rechargement facile et rapide et maintient la nature simpliste du fusil. L'ULR a été conçu pour faire une chose; Le tir de grand calibre est plus loin que la plupart des gens sont capables. Les ressorts d'origine et le frein de museau de conception noreen aident à soulager radicalement la contrainte de tireur et à faire facilement ce fusil un tireur toute la journée à la gamme.,这种单杆螺栓动作的设计为简单。单杆壳固定器螺栓可轻松快速重新加载，并保持步枪的简单性。 ULR旨在做一件事。射击比大多数人的能力更大的圆圈。库存弹簧和Noreen Design枪口制动器有助于极大地减轻射手的压力，并轻松使这款步枪成为全天的射手。,このシングルショットボルトアクションは、シンプルさを念頭に置いて設計されました。シングルショットシェルホルダーボルトは、簡単かつ迅速なリロードを可能にし、ライフルの単純な性質を維持します。 ULRは、1つのことをするように設計されていました。ほとんどの人ができるよりも大口径のラウンドをさらに発射します。ストックスプリングスとノリーンのデザインマズルブレーキは、シューターのストレスを劇的に緩和し、このライフルを範囲で終日シューターにするのに役立ちます。,Esta ação de parafuso de tiro único foi projetado com a simplicidade em mente. O parafuso de suporte de tiro único permite recarregar fácil e rápido e mantém a natureza simplista do rifle. O ULR foi projetado para fazer uma coisa; disparar grandes rodadas de calibre além do que a maioria das pessoas é capaz. As fontes de estoque e o freio de focinho do design Noreen ajudam a aliviar drasticamente o estresse dos atiradores e facilmente fazer deste rifle um atirador durante todo o dia no intervalo.,这种单杆螺栓动作的设计为简单。单杆壳固定器螺栓可轻松快速重新加载，并保持步枪的简单性。 ULR旨在做一件事。射击比大多数人的能力更大的圆圈。库存弹簧和Noreen Design枪口制动器有助于极大地减轻射手的压力，并轻松使这款步枪成为全天的射手。
STR_weapons_rifles_csr50,CSR-50,CSR-50,CSR-50,CSR-50,CSR-50,CSR-50,CSR-50,CSR-50,CSR-50,CSR-50,CSR-50,CSR-50,CSR-50,CSR-50
